Afrihkká	Afrika
Jáhpan	Japan
Lulli-Amerihkká	Zuid-Amerika
Norga	Noorwegen
Englánda	Engeland
Irlánda	Ierland (land)
Ungára	Hongarije
Spánia	Spanje
Amerihká ovttastuvvan stáhtat	Verenigde Staten
Belgia	België
Luxemburg	Luxemburg (land)
Eana	Aarde (planeet)
Olmmoš	Mens
Suopma	Finland
Ruoŧŧa	Zweden
Dánmárku	Denemarken
Polska	Polen
Lietuva	Litouwen
Itália	Italië
Šveica	Zwitserland
Nuortariika	Oostenrijk
Greika	Griekenland
Durka	Turkije
Portugal	Portugal
Eurohpá	Europa (werelddeel)
Ásia	Azië
Davvi-Amerihkká	Noord-Amerika
Antárktis	Antarctica
Wikipedia	Wikipedia
Vuolleeatnamat	Nederland
Washington D.C.	Washington D.C.
Berlin	Berlijn
Los Angeles	Los Angeles
Bern	Bern (stad)
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londen
Kairo	Caïro (stad)
Paris	Parijs
Meksiko	Mexico (land)
Atlánta	Atlantische Oceaan
Jaskesáhpi	Grote Oceaan
Kalifornia	Californië
Vuossárga	Maandag
Ođđajagimánnu	Januari
Guovvamánnu	Februari
Njukčamánnu	Maart
Mars	Mars (planeet)
Kenia	Kenia
Etiopia	Ethiopië
Ghana	Ghana
Cuoŋománnu	April
Miessemánnu	Mei
Geassemánnu	Juni
Suoidnemánnu	Juli
Borgemánnu	Augustus (maand)
Čakčamánnu	September
Golggotmánnu	Oktober
Skábmamánnu	November
Juovlamánnu	December
Maŋŋebárga	Dinsdag
Gaskavahkku	Woensdag
Duorastat	Donderdag
Bearjadat	Vrijdag
Lávvardat	Zaterdag
Sotnabeaivi	Zondag
Ledjon	Leeuw (dier)
Frankriika	Frankrijk
Esperantogiella	Esperanto
Ovttastuvvan gonagasriika	Verenigd Koninkrijk
Bussá	Kat (dier)
Kiinná	Volksrepubliek China
Fránskkagiella	Frans
Brasilia	Brazilië
François Hollande	François Hollande
Ruošša	Rusland
Hvaler	Walvisachtigen
Kvadráhta	Vierkant (meetkunde)
