Mo'hetaneho'e	Afrika
Norway	Noorwegen
Ireland (Republic)	Ierland (land)
Spain	Spanje
United States	Verenigde Staten
Poland	Polen
Lithuania	Litouwen
Italy	Italië
Switzerland	Zwitserland
Austria	Oostenrijk
Turkey	Turkije
Héesevo'tamahpe	Bier
Hóxovê-hooma	Europa (werelddeel)
Asia	Azië
Wikipedia	Wikipedia
Netherlands	Nederland
Vášêtaëno	Washington D.C.
San Francisco	San Francisco
Los Angeles	Los Angeles
Tséohketoetanóto	Computer
Netse Ôhmo'ôhtávaestse	Barack Obama
Má'xeme	Appel (plant)
Paris	Parijs
Mé'šeeséve'ho'évenó	Mexico (land)
California	Californië
Péhpe'énanóse'hame	Leeuw (dier)
France	Frankrijk
Oeškese	Hond
United Kingdom	Verenigd Koninkrijk
China (People's Republic of China)	Volksrepubliek China
Manestôtse	Alcoholische drank
Russia	Rusland
Ma'evé'ho'éno	Duitsland
Ame'hahtôtse'	Vliegtuig
Ukraine	Oekraïne
Czechia	Tsjechië
Slovakia	Slowakije
Slovenia	Slovenië
Roma	Rome (stad)
Croatia	Kroatië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Mo'hetaneho'e hánêsóvóne	Zuid-Afrika
Mahpe	Water
Chile	Chili
Serbia	Servië
Taa'é-eše'he	Maan
Tsésáa-nanóhehane ame'hahtôtse	Unidentified flying object
Vé'ôhkêheóvemá'xeme	Citroen (vrucht)
Vóhka'émene	Banaan (vrucht)
Hotohke	Ster (hemellichaam)
Éše'he	Zon
Chihuahua	Chihuahua (staat)
Tonga	Tonga (land)
Nauru	Nauru
Mo'éhno'ha	Paard (dier)
Hova	Dierenrijk
Kokêhéaxa	Kip (vogel)
Arizona	Arizona (staat)
Amérika	Amerika (continent)
Utah	Utah
Republic of China	Taiwan
Ma'aataemeo'o	Trein
Vietnam	Vietnam
Véhone-ma'kaata	Goud
Tanzania	Tanzania
Zambia	Zambia
Zimbabwe	Zimbabwe
Republic of the Congo	Congo-Brazzaville
Democratic Republic of the Congo	Congo-Kinshasa
Madagascar	Madagaskar
Malawi	Malawi
Namibia	Namibië
Julius Caesar	Julius Caesar
South Dakota	South Dakota
Ho'honáéšé'e	Montana (staat)
Wyoming	Wyoming
Nevada	Nevada (staat)
Colorado	Colorado (staat)
Tseohke-pano'ohe	Jam (voedingsmiddel)
Category:Wikipedia content	Categorie:Alles
Chicago	Chicago
Mene	Vrucht (plant)
Meškêso	Insecten
Amâho'hestôtse	Auto
Toháano'ého'ëva	Texas (staat)
Buenos Aires	Buenos Aires (stad)
Barcelona	Barcelona (Spanje)
Šéstotó'emeno	Ananas
Ma'xeé'ome'tää'e	Mississippi (rivier)
Caracas	Caracas
Nebraska	Nebraska
Kansas	Kansas (staat)
Heévȧhetanéno	Oklahoma
Ma'heónemôxe'êstoo'o	Bijbel (christendom)
Ho Chi Minh City	Ho Chi Minhstad
Dong Hoi	Đồng Hới
Concepción	Concepción (Chili)
Še'šenovôtse	Slangen
Madrid	Madrid (stad)
Santiago (Chile)	Santiago (Chili)
Mé'hahtsékósa	Geit
Ho'ësta	Vuur
Antofagasta	Antofagasta (stad)
Brazzaville	Brazzaville
Copiapó	Copiapó (Atacama)
Moxe'estonemaheo'o	School (instelling)
Oomâhóoné-mâhéó'o	Huis (woning)
Ó'he'e	Rivier
Eschweiler	Eschweiler (Duitsland)
Dong Hoi Airport	Luchthaven Đồng Hới
Curitiba	Curitiba (gemeente)
Talca	Talca (stad)
Corbin Bleu	Corbin Bleu
Vôhe'so	Vogelnest
Ve'kese	Vogels
Almazán	Almazán (gemeente)
Va'ohtama	Hoofdpagina
Hohtsemo	Basketbal
Ho'honáá'e Tsé'amoo'êse	Rocky Mountains
Hóoma	Deken (beddengoed)
Category:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
Véhpotséhohpe	Thee (drank)
Axenôhonestôtse	Gitaar
Hotohke tséana'ôhtse	Meteoroïde
Mâhtovoo'ôtse	Oor
Kosa	Schaap (dier)
Pa'e'pa'onáhe	Kamelen
Tsêhe'êseeséhe	Olifanten
Háhnoma	Bijen
Hésta'se	Sneeuw
Ka'êškone	Kind (leeftijdsgroep)
Kóhkonêhëö'o	Brood
O'êhnémâhéó'o	Toilet
Nelson Mandela	Nelson Mandela
Vo'e	Wolk
Ma'xêhevovetäso	Tornado (wervelwind)
Mahpe hevovetäso	Tropische cycloon
Category:Némenestôtse	Categorie:Muziek
Mó'soonêó'he'e	Arkansas (rivier)
Ma'êhóóhe	Vos (dier)
Mo'ôhtávêhohpe	Koffie
Matana	Melk (drank)
Bilbao	Bilbao
Sevilla	Sevilla (stad)
Valencia	Valencia (stad)
No'kéeho	Eekhoorns
Ronald Reagan	Ronald Reagan
Éškôseeséhotame	Echte zwijnen
Hoohtsêstse	Boom (plant)
Hohpâháa'éheme	Druif
Háhnomápano'êhasëö	Honing
Aéstomemésêhestôtse	Aardappel
Vé'keemahpe	Tafelsuiker
Hóo'xevávôxe'êstoo'o	Krant
Aseéestsestôtse	Telefoontoestel
Lugo	Lugo (Spanje)
Vóhpoma'ôhtse	Keukenzout
Onéhavo'e	Trommel
Amo'a'óvâhtsestôtse	Fiets
Vóhpeeva	Katoen
Môxe'êstoo'o	Papier
Ová'kemâhaemenôtse	Mais
Náhkohe	Beren
Hoéstoneéše'he	Kalender
Hóxovôho'o	Brug (bouwwerk)
Hualpén	Hualpén
Jalisco	Jalisco
Hohpâhtsenámenôtse	Rozijn
Tsétóno	Roomijs
Vé'keekóhkonôhëö'o	Koekje
Vé'keahonoo'o	Taart
Santiago de Compostela	Santiago de Compostella
Oviedo	Oviedo (stad)
Heškóvemata	Cactusfamilie
Hoohëö'o	Vlag
Táxemésêhestôtse	Tafel (meubilair)
Heóvâhá'enëö'o	Broodrooster
Táxe'êséestôtse	Stoel
Tsêhe'êsenotováhe	Giraffe (dier)
Nuevo León	Nuevo León
Freddie Mercury	Freddie Mercury
Template:Link FA	Sjabloon:Link FA
Denver	Denver
Austin (Texas)	Austin (Texas)
Naa'émâhéó'o	Ziekenhuis
Sacramento	Sacramento (Californië)
Vonomóhtâhestôtse	Acetylsalicylzuur
Hó'nehe	Wolf
Henenéva'ôhease	Stekelstaarthoen
Bien Hoa	Biên Hòa (stad)
Manëhe	Pelecanus
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
He'kone'éemâsono	Macaroni
Vung Tau	Vũng Tàu (stad)
Aruba	Aruba
Néške'ësta	Wangzakeekhoorns
Mo'kêhanôtse	Schoen
Hestaahtsémeno	Ribes (geslacht)
Váótséva	Hertachtigen
Má'ome	IJs (water)
Heškóvemâhöö'o	Cucumis sativus
Xaóenêhéstâhévo	Ui (plant)
Moshchena	Mosjtsjena
Paltoga	Paltoga
Mérida (Venezuela)	Mérida (Venezuela)
Ho'ose	Steenkool
Vé'kêséhemêstaa'e	Uilen (orde)
Ca Mau	Cà Mau (stad)
Poeso	Katachtigen
Curaçao	Curaçao
Tôhohko	Hamer (gereedschap)
Tâhpe'âséhahnoma	Hommels
He'haéheséeo'ôtse	Duizendblad (soort)
Vó'ho'kâsénoma'ne	Glimwormen
Tsêhe'êsevotoná	Fazant
Sint Maarten	Sint Maarten (land)
Heo'këso	Muskusrat
Héna'e	Grote Canadese gans
Sósone'e	Shoshone (volk)
Mâhóomoehá-vé'késo	Meeuwen (vogels)
Nanomóne-éšeëva	Remembrance Day
Ôhtaenémâhéó'o	Hotel
Mâhpé-aénohe	Zilvermeeuw
Hevavâhkema	Vlinders
Méšenonetsénóne	Vleermuizen
Tsé-tó'hovane	Sandwich (gerecht)
Kingdom of the Netherlands	Koninkrijk der Nederlanden
Heóvêstséávó'êstse	Taraxacum
Anonévee'tose	Wilde peen
Ónonevóneške	Prairiehonden
Avril Lavigne	Avril Lavigne
Hoéstónéó'o	Rekenmachine
Motšêške	Mes (voorwerp)
Nêškovávo'ha	Zebra (dier)
Tsêhesenêstsestôtse	Cheyenne (taal)
Vóhpenáhkohe	IJsbeer
Oaxaca	Oaxaca (staat)
Heóveamêške	Boter (zuivel)
Meo'o	Weg
Anastacia	Anastacia
Henenó'e	Rozen
Albuquerque	Albuquerque
Tequixquiac	Tequixquiac
Ma'xepóno'e	Oklahoma City
Môxe'êstóonémâhéó'o	Postkantoor
Nanóse'hame	Poema
Mâhpémo'éhe	Eland
Vo'kome-mâheo'o	Witte Huis (Washington D.C.)
Boise	Boise
Semo	Boot (vaartuig)
Vóhkooheme	Vijgenboom
Thanh Hoa	Thanh Hóa (stad in Thanh Hóa)
Puerto Montt	Puerto Montt
Mo'otsenahkohe	Bruine beer
Toóneohëö'o	Draadnagel
Ma'aataéve'éxanéstotôtse	Bril
Campora San Giovanni	Campora San Giovanni
Tono'sëö'o	Koelkast
Ka'énêhótame	Engelse buldog
Éškôsénéhe	Greyhound (hond)
Nêxo'mévéhe	Watermeloen
Vótâháéno tsénéma'ó'á'ha	Windmolen
Péhpe'éoeškëso	Franse poedel
Hóhkeehe	Mus (geslacht)
Heséeotséve'ho'e	Arts
Ma'o'hoáá'e	Baksteen
Tó'too'he	Steenarend
Môxe'a'xémâhéó'o	Bioscoop
Ma'xêheóvema'xemeno	Grapefruit
Hohpe	Soep (voedsel)
Hovéo'kôheo'	Paraplu
Talcahuano	Talcahuano
Šéeše-stôtse	Bed
Ma'emonêškeho	Gewone boon
Tsé-éškôsa'évetováto	Kegel (ruimtelijke figuur)
Péhpe'épóéso	Pers (kattenras)
Johnny Cash	Johnny Cash
Homôse-mâheo'o	Keuken (ruimte)
Ma'xeamóvôhtó'hestôtse	Vrachtauto
Ókohke	Corvus (geslacht)
Háestôheóhtáhe	Duizendpoten
Vótâháéno	Waterput
Hotóa'ôxhoo'êstse	Sitting Bull
Ma'kaataevé'késo	Kolibries
Ma'xêhë'ne	Meleagris
Ó'kôhóme	Coyote
Jim Morrison	Jim Morrison
Sonora	Sonora (staat)
Guanajuato	Guanajuato (staat)
Ma'kaatohko	Emmer
Móxêšéne	Munt (geslacht)
Héne'enovâhétane	Student
Hahpenó'estôtse	Naaimachine
Mo'ôhtameöhtsêstse	Afro-Amerikanen
Coahuila	Coahuila de Zaragoza
Baja California	Baja California (staat)
Ȧxeohōva	Meervalachtigen
Chiapas	Chiapas
Guerrero	Guerrero (staat)
Yucatán	Yucatán (staat)
Colima	Colima (staat)
Hovë'še	Amerikaanse watersnip
Morelos	Morelos
Kémeöna	Dentalium
San Luis Potosí	San Luis Potosí (staat)
Sóhkomevó'ho'kâsenestôtse	Kaars
Querétaro	Querétaro de Arteaga
Michoacán	Michoacán de Ocampo
Durango	Durango (staat)
Nayarit	Nayarit
Puebla	Puebla (staat)
Aguascalientes	Aguascalientes (staat)
Tamaulipas	Tamaulipas
Quintana Roo	Quintana Roo (staat)
Sinaloa	Sinaloa
Zacatecas	Zacatecas (staat)
Alla Pugacheva	Alla Poegatsjova
Hidalgo	Hidalgo (staat)
Campeche	Campeche (staat)
Tabasco	Tabasco (staat)
Monterrey	Monterrey
Hóma'e	Canadese bever
Ma'xeméstaa'e	Amerikaanse oehoe
Tlaxcala	Tlaxcala (staat)
Hotoa'e	Amerikaanse bizon
Xäö'o	Stinkdieren
