Afraga	Afrika
Toradh Cartesach	Cartesisch product
Reidius	Straal (wiskunde)
An Tàinistear	Regent (bestuurder)
Columbia County, Florida	Columbia County (Florida)
Peanta	Verf
Wilmington, Delaware	Wilmington (Delaware)
St. Peter Port	Saint Peter Port
Pedro Alvarez Cabral	Pedro Álvares Cabral
Amos	Amos (boek)
Obadiah	Obadja (boek)
Calhoun County, Florida	Calhoun County (Florida)
Cuspair (gràmar)	Object (taalkunde)
Prowers County, Colorado	Prowers County
13mh linn RC	13e eeuw v.Chr.
Barra	Kruiwagen
Cumberland County, Kentucky	Cumberland County (Kentucky)
Clearwater County, Idaho	Clearwater County (Idaho)
Dlighe Úi Bhaoghail	Wet van Boyle
Taylor County, Iowa	Taylor County (Iowa)
Cabarrus County, Carolina a Tuath	Cabarrus County
Liosta nan dùthchannan a rèir dùmhlachd-sluaigh	Lijst van landen naar bevolkingsdichtheid
Paul J. Flory	Paul Flory
Seacadh	Recessie
James Mirrlees	James Mirrlees
A' Phloic	Bof
Parabhan	Paraffine
170an	170-179
Tràth (gràmar)	Werkwoordstijd
Cabhsair	Trottoir
Sgoil-uisge	Hydrostatica
Pears-eaglais	Geestelijke
Imre Nagy	Imre Nagy
Rùp	Veiling
Nàidhlean	Nylon
Brùthadh àbhaisteach	Atmosfeer (eenheid)
Jacob van Utrecht	Jacob van Utrecht
Dàrna Poblachd na Spàinne	Tweede Spaanse Republiek
Micah	Micha (boek)
Meatailt gotach	Gothic metal
90an RC	99-90 v.Chr.
Bàta-smùid	Stoomboot
Henry County, Iowa	Henry County (Iowa)
Contae Luimnigh	County Limerick
Hagai	Haggai (boek)
Àrd-aingeal	Aartsengel
Eseciel	Ezechiël (boek)
Irvine Welsh	Irvine Welsh
Gille-cruidh	Cowboy
Cath	Veldslag
Contae Mhaigh Eo	County Mayo
15mh linn RC	15e eeuw v.Chr.
Aonadh-obrach	Vakbond
Uaireadair	Horloge
Ionah	Jona (boek)
Gran Canaria	Gran Canaria
Tuireadh	Klaagliederen
Alderney	Alderney
Contae Shligigh	County Sligo
Henrik Larsson	Henrik Larsson
Puyallup, Washington	Puyallup
Contae Dhún nan Gall	County Donegal
Contae Ros Comáin	County Roscommon
Bertil Ohlin	Bertil Ohlin
Guasca	Guasca
Beauty and the Beast (film 1991)	Belle en het Beest (1991)
Nahum	Nahum (boek)
Habacuc	Habakuk (boek)
Sechariah	Zacharia (boek)
Harold Clayton Urey	Harold Urey
Durham	Durham (Engeland)
Contaetha na h-Èireann	Graafschappen van Ierland
Edmunds County, Dakota a Deas	Edmunds County
Kermanshah	Kermanshah
Johannes Nicolaus Brønsted	Johannes Nicolaus Brønsted
Contae Chill Chainnigh	County Kilkenny
Christopher Lee	Christopher Lee
Uchd-mhacachd	Adoptie
Carbad-eiridinn	Ambulance
Phillip Seymour Hoffman	Philip Seymour Hoffman
Beannag	Bandana
14mh linn RC	14e eeuw v.Chr.
Translink	Translink (Noord-Ierland)
Truro	Truro (Verenigd Koninkrijk)
Labette County, Kansas	Labette County
Buidheagan	Eierdooier (kip)
Teodaileach	Theodoliet
Fàsach Libianach	Libische Woestijn
Herbert Simon	Herbert Simon
Albannach	Schotten (volk)
Naomh Thérèse de Lisieux	Theresia van Lisieux
Contae an Chláire	County Clare
Robert Peel	Robert Peel
Contae Cheatharlach	County Carlow
David Niven	David Niven
Adair County, Kentucky	Adair County (Kentucky)
Essex County, Virginia	Essex County (Virginia)
Copan Moire	Gewone schaalhoren
Lanzarote	Lanzarote
Sgioba nàiseanta criogaid Phagastan	Pakistaans cricketelftal
Maighdean-mhara	Zeemeermin
Contae Chill Mhantáin	County Wicklow
Contae na hIarmhí	County Westmeath
Van Buren County, Iowa	Van Buren County (Iowa)
Bailead	Ballad
Deàrnadaireachd	Handlijnkunde
Biodag	Dolk
Clark County, Missouri	Clark County (Missouri)
Eanraig am Maraiche	Hendrik de Zeevaarder
Sruighlea	Stirling
Rahden	Rahden
Jihlava	Jihlava
Jefferson County, Iowa	Jefferson County (Iowa)
Abhainn Cheilbhinn	Kelvin (rivier)
G. K. Chesterton	Gilbert Keith Chesterton
Jan Tinbergen	Jan Tinbergen
Prince William County, Virginia	Prince William County
Pòla (cruinn-eòlas)	Geografische pool
Ibadan	Ibadan
Deachdaire	Dictator (modern)
Bolgan (lus)	Knolgewas
16mh linn RC	16e eeuw v.Chr.
Ilya Prigogine	Ilya Prigogine
130an	130-139
Guen Hily	Great Ganilly
Contae Lú	County Louth
Contae na Mí	County Meath
Port Làirge	Waterford (stad)
Aideachadh	Biecht
Hosea	Hosea (boek)
Gary, Indiana	Gary (Indiana)
Irving Langmuir	Irving Langmuir
Fàsach Mhojave	Mojavewoestijn
Bodha	Rif (ondiepte)
Kyzyl Kum	Kyzylkoem
Coire	Keteldal
Gràisgealachd	Vloek (krachtterm)
Contae Uíbh Fhailí	County Offaly
Rùsg	Schors
Contae Chiarraí	County Kerry
Contae Phort Láirge	County Waterford
Contae Loch Garman	County Wexford
Contae Thiobraid Árann	County Tipperary
Mòine	Turf (brandstof)
Ogham	Ogham (alfabet)
The Aristocats	De Aristokatten
Jane Goodall	Jane Goodall
Luibhean-luaisgein	Fytoplankton
Contae Mhuineacháin	County Monaghan
Sgealbag	Wijsvinger
John Hicks	John Hicks (econoom)
Taisbeanach (gràmar)	Wijs
Tairbheadaireachd	Stierenvechten
Mion-fhacal	Grammaticaal partikel
Tromb-beòil	Mondharp
Tobago	Tobago
Piranha	Piranha's
Brian Cowen	Brian Cowen
Knoxville, Tennessee	Knoxville (Tennessee)
Grytviken	Grytviken
Fado	Fado (muziek)
Caol-an-dùirn	Pols (anatomie)
Todhar	Mest
Bàta-foluaimein	Hovercraft
Lacrosse	Lacrosse
Girardot (Coloimbia)	Girardot (Cundinamarca)
Contae an Longfoirt	County Longford
Altram	Verpleegkundige
Theodor Svedberg	Theodor Svedberg
An Sionnach Sgianach	Wolverine
Faoighiche	Parasiet
19mh linn RC	19e eeuw v.Chr.
Chattanooga, Tennessee	Chattanooga (Tennessee)
17mh linn RC	17e eeuw v.Chr.
Lite	Pap (voedsel)
Eilean Devon	Devoneiland
Prìomh Lìog na h-Alba	Scottish Premier League
Raibeart I na h-Alba	Robert I van Schotland
C.B. Obar Dheathain	Aberdeen FC
Contae an Chabháin	County Cavan
Álvaro Uribe	Álvaro Uribe
RMS Lusitania	Lusitania (schip, 1907)
Pablo Escobar	Pablo Escobar
Bàr	Café
Secret Garden	Secret Garden
Eilthireachd	Emigratie
Breac-sheunain	Sproet (huidkenmerk)
Ragnar Frisch	Ragnar Frisch
Gairbheal	Groeve
Triantanadh	Driehoeksmeting
Bocsa	Doos
Tuiseal	Declinatie (taalkunde)
Český Krumlov	Český Krumlov
Eaconamaiche	Econoom
Ronald Coase	Ronald Coase
Cullman County, Alabama	Cullman County
Aiseal	As (mechanica)
1400an	1400-1409
Cunbhal	Constant (eigenschap)
Bun Ilidh	Helmsdale
Sioman	Kabel (leiding)
Eilean Cheap Bhreatainn	Cape Bretoneiland
140an	140-149
Ceithir dùil phrìomh-shamhlach	Element (oudheid)
1410an	1410-1419
Pangram	Pangram
Sephaniah	Sefanja (boek)
Curran geal	Pastinaak
Anaconda	Anaconda's
Cagailt	Open haard
Aiseirigh	Opstanding
Achadh	Akker (landbouw)
1430an	1430-1439
Ròs-chraobh	Rododendron
Fàsach Sonora	Sonorawoestijn
Vladimir Voronin	Vladimir Voronin (president)
Oilthigh Jagiellonian	Jagiellonische Universiteit
Yossi Benayoun	Yossi Benayoun
18mh linn RC	18e eeuw v.Chr.
Theodore William Richards	Theodore William Richards
Rèabhlaid Ghlòrmhor	Glorious Revolution
Aol-tàthaidh	Mortel (betontype)
Contae Aontroma	County Antrim
Keith Richards	Keith Richards
Arthur Harden	Arthur Harden
Aonaran	Heremiet (monnik)
1460an	1460-1469
Alice in Wonderland (film 1951)	Alice in Wonderland (1951)
Siorrachd Obar Dheathain	Aberdeenshire
Iain Knox	John Knox
Ùth	Melkklier
Sligeach	Sligo (plaats)
1470an	1470-1479
Hare Krishna	Hare Krishna-beweging
John Paul Jones	John Paul Jones (musicus)
1480an	1480-1489
Willard Frank Libby	Willard Libby
Henrik Carl Peter Dam	Henrik Dam
Christopher Plummer	Christopher Plummer
Aaron Klug	Aaron Klug
Contae Fhear Manach	County Fermanagh
Contae an Dúin	County Down
1490an	1490-1499
Famke Janssen	Famke Janssen
Bòtann	Laars
Gary Becker	Gary Becker
Edward Sapir	Edward Sapir
Tunna	Ton (massa)
Fairge	Pelagische zone
BBC a h-aon	BBC One
Pàipear-balla	Behang
Santo André	Santo André (São Paulo)
Clavichord	Klavechord
Bàta-slaodaidh	Sleepboot
Taoiseach	Taoiseach
Abhainn Mhagdalena	Magdalena (rivier)
Bhàsa	Vaas
150an	150-159
Don Giovanni	Don Giovanni
Uèir-bhiorach	Prikkeldraad
Aillse chraicinn	Huidkanker
Crudha	Hoefijzer
Contae Dhoire	County Londonderry
Contae Thír Eoghain	County Tyrone
Guido da Arezzo	Guido van Arezzo
1520an	1520-1529
Nathair-uisge	Zoetwaterpoliepen
Breabadair	Weven
Mac an aba	Ringvinger
1530an	1530-1539
Boulder, Colorado	Boulder (Colorado)
Canari	Kanarie
Fuerteventura	Fuerteventura
Streymoy	Streymoy
Daibhidh Trimble	David Trimble
Edmund Phelps	Edmund Phelps
Hyères	Hyères
Simon Kuznets	Simon Kuznets
Dreuchdan	Arbeid (economie)
Duffy	Duffy
Kenneth Arrow	Kenneth Arrow
C.B. Hibernian	Hibernian FC
George A. Olah	George Andrew Olah
Clannad	Clannad
Tràth làthaireach	Onvoltooid tegenwoordige tijd
Bràigh (duine)	Gijzelaar
The Yardbirds	The Yardbirds
Contae Ard Mhacha	County Armagh
Oilthigh Ghlaschu	Universiteit van Glasgow
Nokia (baile)	Nokia (gemeente)
C.B. Dùn Dèagh Aonaichte	Dundee United FC
Jan Palach	Jan Palach
Cathair Luail	Carlisle (Verenigd Koninkrijk)
Chinchilla	Chinchilla's
1550an	1550-1559
Marajó	Marajó (eiland)
Beul-an-latha	Zonsopkomst
Ard Mhacha	Armagh (stad)
Noel Gallagher	Noel Gallagher
A Night at the Opera	A Night at the Opera (album)
1560an	1560-1569
Oilthigh Phadua	Universiteit van Padua
Achd an Aonaidh	Acts of Union (1707)
Pàirc Hampden	Hampden Park
Henry Temple, 3rd Viscount Palmerston	Henry John Temple
James McAvoy	James McAvoy
1570an	1570-1579
Sugababes	Sugababes
Gath na grèine	Zonlicht
Leaba chrochta	Hangmat
Live 8	Live 8
Bruis-pheant	Penseel
Neasgaid	Steenpuist
Urchasg	Tegengif
Uaireadair-uisge	Wateruurwerk
Canaigh	Canna (eiland)
Cola	Coll
Monroe County, Michigan	Monroe County (Michigan)
1620an	1620-1629
Yuba County, Calafòrnia	Yuba County
1630an	1630-1639
1640an	1640-1649
1650an	1650-1659
1660an	1660-1669
1670an	1670-1679
Aisean	Rib (anatomie)
1690an	1690-1699
Craig Levein	Craig Levein
1710an	1710-1719
1720an	1720-1729
Ziebach County, Dakota a Deas	Ziebach County
1760an	1760-1769
Coloimbia Mhòr	Groot-Colombia
Magdalena (Roinn)	Magdalena (departement)
1790an	1790-1799
Kreuzau	Kreuzau
Hamilton, Sealainn Nuadh	Hamilton (Nieuw-Zeeland)
Dòbhran	Otters
Eilean Bhanks	Bankseiland
Àrd-bhaile	Metropool (stad)
Kamakura	Kamakura
Roger Y. Tsien	Roger Tsien
180an	180-189
Pàrtaidh	Feest
James Caviezel	Jim Caviezel
Eysturoy	Eysturoy
Châtenay-Malabry	Châtenay-Malabry
Vicuña	Vicuña (Chili)
Perquimans County, Carolina a Tuath	Perquimans County
Cliabh	Mand
Anna na Breatainn Bheag	Anna van Bretagne
Fìobha	Fife
Kohtla-Järve	Kohtla-Järve
Edward Said	Edward Said
Nori	Nori (eetbaar zeewier)
Piast	Piasten
Alter ego	Alter ego
La Palma (eilean)	La Palma (eiland)
Dealg	Doorn (plant)
David Hasselhoff	David Hasselhoff
Herm	Herm (eiland)
Foghar (cànanachas)	Foon (fonetiek)
Linn Giùdain	Firth of Forth
C.B. Cridhe Mheadhan-Lodainn	Heart of Midlothian FC
Robert Grubbs	Robert Grubbs
Yves Chauvin	Yves Chauvin
Gary Speed	Gary Speed
Còigeamhan na h-Èireann	Provincies van Ierland
Richard Schrock	Richard Schrock
Borðoy	Borðoy
Comhairle Earra-Ghàidheal is Bhòid	Argyll and Bute
Comhairle Aonghais	Angus (Schotland)
The Rescuers Down Under	De Reddertjes in Kangoeroeland
Adag	Melanogrammus aeglefinus
Walworth County, Wisconsin	Walworth County (Wisconsin)
Gruag bhàn	Blond
Wyclef Jean	Wyclef Jean
Bheat	Dierenarts
Peairt	Perth (Schotland)
Sgioba nàiseanta criogaid Sri Lanca	Sri Lankaans cricketelftal
Komi (sluagh)	Komi (volk)
Napier, Sealainn Nuadh	Napier (Nieuw-Zeeland)
Betws-y-Coed	Betws-y-Coed
Saint John, Brunswick Nuadh	Saint John (New Brunswick)
Manuel Azaña Díaz	Manuel Azaña
Modesto, Calafòrnia	Modesto (Californië)
Walter Norman Haworth	Walter Haworth
Sìobar-spàs	Cyberspace
Ball-coise Gàidhealach	Gaelic football
Being	Zitbank
Eigir	Aegir (reus)
Dìcheannachadh	Onthoofding
Lodainn an Iar	West Lothian
Brian Jones	Brian Jones
Bogha (ceòl)	Strijkstok
Dún Dealgan	Dundalk (Ierland)
Kalundborg	Kalundborg (plaats)
Vézelay (Yonne)	Vézelay
Protractair	Gradenboog
Naomh Crìstean (eilean)	Saint Kitts
Talking Heads	Talking Heads
The Flowers of Romance	The Flowers of Romance
Osamu Shimomura	Osamu Shimomura
James Buchanan (eaconomaiche)	James M. Buchanan
Zipaquirá	Zipaquirá
Tenacious D	Tenacious D
Bloc Party	Bloc Party
Aspen, Colorado	Aspen (plaats)
Franco Modigliani	Franco Modigliani
Lancaster	Lancaster (Lancashire)
Tàrmachan	Alpensneeuwhoen
190an	190-199
Sgeir Rocail	Rockall
Pàrlamaid na h-Alba	Schots Parlement
Bith-mhoileciuil	Biomolecuul
Thomas Schelling	Thomas Schelling
Abeokuta	Abeokuta
Stuth-togail	Bouwmateriaal
Nelson, Sealainn Nuadh	Nelson (Nieuw-Zeeland)
Redon	Redon (plaats)
Comhairle Shiorrachd Àir a Tuath	North Ayrshire
Lítla Dímun	Lítla Dímun
Meadhan Lodainn	Midlothian (Schotland)
Comhairle Shiorrachd Lannraig a Tuath	North Lanarkshire
Sir Fynwy	Monmouthshire
Comhairle Lodainn an Ear	East Lothian
Siorrachd Chlach Mhanainn	Clackmannanshire
Bràigh (tìr-eòlas)	Top (berg)
Isambard Kingdom Brunel	Isambard Kingdom Brunel
Sylvia Kristel	Sylvia Kristel
Vágar	Vágar
Comhairle Pheairt is Cheann Rois	Perth and Kinross
Cill Rìmhinn	St Andrews (Schotland)
Tauranga	Tauranga
Feur	Gazon (grasveld)
Nibheis	Nevis
Cumadh	Vorm (fysiek)
Peter D. Mitchell	Peter Mitchell (biochemicus)
Comhairle Dhùn Bhreatainn an Iar	West Dunbartonshire
Trygve Haavelmo	Trygve Magnus Haavelmo
Galar iomallach na pearsantachd	Borderline-persoonlijkheidsstoornis
Comhairle Inbhir Chluaidh	Inverclyde
Flùr na h-Alba	The Flower of Scotland
Comhairle na Gàidhealtachd	Highland (Schotland)
Fàsach Araibianach	Grote Arabische Woestijn
Sandoy	Sandoy (eiland)
Hestur	Hestur
Bàgh na h-Eaglaise	Kirkwall
Koltur	Koltur
Sgrab	Noordse pijlstormvogel
William Pitt, 1ad Iarla Chatham	William Pitt de Oudere
Amar-bàistidh	Doopvont
Gilbert N. Lewis	Gilbert Lewis (scheikundige)
Loch Laomainn	Loch Lomond
Rotorua	Rotorua
Santa Marta (baile)	Santa Marta (Colombia)
Comhairle Shiorrachd Àir a Deas	South Ayrshire
Comhairle Shiorrachd Àir an Ear	East Ayrshire
Comhairle Shiorrachd Lannraig a Deas	South Lanarkshire
Appenzell	Appenzell (stad)
Oxnard, Calafòrnia	Oxnard
Brùchd	Boer (geluid)
Beul-aithris	Orale traditie
Sgadan	Haringen (geslacht)
Suðuroy	Suðuroy
Fugloy	Fugloy
Balla Antonine	Muur van Antoninus
Gérard Debreu	Gérard Debreu
C.B. Cille Mheàrnaig	Kilmarnock FC
Comhairle Shiorrachd Rinn Friù	Renfrewshire
Ronnie Wood	Ron Wood
Finn E. Kydland	Finn Kydland
Fulangach (gràmar)	Actief/passief (taalkunde)
Comhairle Mhoireibh	Moray (Schotland)
Alasdair III na h-Alba	Alexander III van Schotland
Comhairle nan Crìochan	Scottish Borders
Magnus Maximus	Magnus Maximus
Òr-cheàrdaichean	Goudsmid
Ruaraidh MacFhionghain	Roderick MacKinnon
Garaids	Garagerock
Rìgh Seumas VIII Alba agus III Shasainn	Jacobus Frans Eduard Stuart
Alexandrine	Alexandrijn
Ceatharlach	Carlow (plaats)
200an	200-209
James Tobin	James Tobin
Fàsach Shimpson	Simpsonwoestijn
Pàislig	Paisley (Schotland)
Arainn	Arran
Bangor	Bangor
Comhairle Dhùn Bhreatainn an Ear	East Dunbartonshire
Comhairle Shiorrachd Rinn Friù an Ear	East Renfrewshire
Auld Lang Syne	Auld Lang Syne
Dùn Phàrlain	Dunfermline
Cù Chullain	Cú Chulainn
Viðoy	Viðoy
Kunoy	Kunoy
Stóra Dímun	Stóra Dímun
Kalsoy	Kalsoy
Caisteal Dhùn Éideann	Edinburgh Castle
Roger Ebert	Roger Ebert
P. W. Botha	Pieter Willem Botha
Palmerston North	Palmerston North
Fawlty Towers	Fawlty Towers
Wadowice	Wadowice
20an RC	29-20 v.Chr.
Na Seumasaich	Jakobitisme (Groot-Brittannië)
New Plymouth, Sealainn Nuadh	New Plymouth
Briogais-snàmh	Zwemkleding
Santa Rosa, Calafòrnia	Santa Rosa (Californië)
Antidorcas marsupialis	Springbok
Aberystwyth	Aberystwyth
Menen	Menen
Clamecy (Nièvre)	Clamecy (Nièvre)
Buidheag (lus)	Kruipende boterbloem
Sir Benfro	Pembrokeshire
Mykines	Mykines (Faeröer)
Liùrabhaig	Lerwick
210an	210-219
Rutger Hauer	Rutger Hauer
Uachtaran	President van Ierland
Tom Selleck	Tom Selleck
Camanachd Èireannach	Hurling
Buain	Oogst
The Hunchback of Notre Dame (film 1996)	De klokkenluider van de Notre Dame (1996)
Rìghrean na h-Alba	Lijst van koningen van Schotland
Adolfo Suárez y González	Adolfo Suárez
Andy Williams	Andy Williams
220an	220-229
Leticia (baile)	Leticia
An Cabhán	Cavan (Ierland)
Ceannaiche	Handelaar
Roinnean ann an Coloimbia	Departementen van Colombia
230an	230-239
Nás na Ríogh	Naas (Ierland)
Carabhan	Caravan (aanhangwagen)
Stràc gheur	Accent aigu
Logarbaidh	Lockerbie
Spòrs bhuidheann	Teamsport
Charlie Watts	Charlie Watts
Plastair	Pleister (medisch)
Bàrc	Bark (zeilschip)
BBC a dhà	BBC Two
Hilo, Hawaii	Hilo
Oilthigh Chill Rìmhinn	Universiteit van St Andrews
Eun-turais	Vogeltrek
Fianna Fáil	Fianna Fáil
C.B. Tobar na Màthar	Motherwell FC
Basgaid-sgudail	Vuilnisbak
Sam Houston	Sam Houston
Caibe	Spade
Daibhidh I na h-Alba	David I van Schotland
Breacan	Tartan
Comhairle na h-Eaglaise Brice	Falkirk (raadsgebied)
Cúcuta	Cúcuta
Svínoy	Svínoy
Skúvoy	Skúvoy
Sgeir	Scherenkust
N.W.A.	N.W.A
Oliver & Company	Oliver & Co.
240an	240-249
Yr Wyddfa	Snowdon
Richard Trevithick	Richard Trevithick
Ùrlar	Vloer
David Letterman	David Letterman
Ithaca, Eabhraig Nuadh	Ithaca (New York)
Florence and the Machine	Florence and the Machine
Walter Gilbert	Walter Gilbert
Kenichi Fukui	Kenichi Fukui
Fir-thàileisg Leòdhais	Lewis-schaakstukken
Ceredigion	Ceredigion (graafschap)
Grianaig	Greenock
Comhairle Shruighlea	Stirling (raadsgebied)
Sir Gaerfyrddin	Carmarthenshire
250an	250-259
Halifax	Halifax
Faidhbhile deasach	Nothofagus
C.B. na h-Eaglaise Brice	Falkirk FC
Pietrasanta	Pietrasanta
260an	260-269
Fayetteville, Arkansas	Fayetteville (Arkansas)
Oilthigh Washington	Universiteit van Washington
Na Deuchainnean na Buidseachd Salem	Heksenprocessen van Salem
Robert Mundell	Robert Mundell
George Canning	George Canning
Richard Stone	Richard Stone
270an	270-279
Hunter S. Thompson	Hunter S. Thompson
Fiodh-fillte	Multiplex (plaatmateriaal)
Daviess County, Indiana	Daviess County (Indiana)
Bàirneach	Rankpootkreeften
Roquebrune-Cap-Martin	Roquebrune-Cap-Martin
Charles Rennie Mackintosh	Charles Rennie Mackintosh
The Killers	The Killers (band)
280an	280-289
Pío Baroja	Pío Baroja
Coinneach III na h-Alba	Kenneth III
Anggun	Anggun
290an	290-299
Bearnard	Bernhard
Còrnaich	Cornish (volk)
Blàr Allt a' Bhonnaich	Slag bij Bannockburn
George Akerlof	George Akerlof
Itapúa	Itapúa
Tè-bhuairidh	Femme fatale
Arm na Breatainne	British Army
Seumas III Alba	Jacobus III van Schotland
Ibagué	Ibagué
Muir-seilche	Schildpadden
Cogadh Chaco	Chaco-oorlog
Casper, Wyoming	Casper (Wyoming)
Barraigh	Barra (eiland)
Baranachd	Baronie
300an	300-309
Robert Bruce Merrifield	Robert Bruce Merrifield
Sin	Sin
310an	310-319
Nelson	Nelson
BMI	BMI
320an	320-329
Henrik Pontoppidan	Henrik Pontoppidan
Riverside	Riverside
330an	330-339
An Comann Eadar-Cheilteach	Celtic League
340an	340-349
Carl Friedrich Georg Spitteler	Carl Spitteler
Lùdag	Pink (vinger)
Smeartan	Suikerwier
Dùthchannan san Roinn Eòrpa	Lijst van Europese landen
Creithleag-nan-each	Dazen
Neach-iùil	Conducteur
Rub' al Khali	Rub al Khali
Cuthag-bhogaidh	Motacilla
Nariño (Roinn)	Nariño (departement)
Arauca (Roinn)	Arauca (departement)
Chocó (Roinn)	Chocó
Bolívar (Roinn)	Bolívar (departement)
Cauca (Roinn)	Cauca (departement)
Caldas (Roinn)	Caldas (departement)
Edward Doisy	Edward Adelbert Doisy
Zusamaltheim	Zusamaltheim
Irwin Rose	Irwin Rose
Atlántico (Roinn)	Atlántico
Jacques Monod	Jacques Monod
400an	400-409
Acton	Acton
Michael Smith	Michael Smith (scheikundige)
John Cowdery Kendrew	John Kendrew
Avram Hershko	Avram Hershko
Robert Burns Woodward	Robert Burns Woodward
Rem Koolhaas	Rem Koolhaas
Carice van Houten	Carice van Houten
410an	410-419
Cundinamarca (Roinn)	Cundinamarca
Burton	Burton
Roger Myerson	Roger Myerson
Putumayo (Roinn)	Putumayo (departement)
Arne Wilhelm Kaurin Tiselius	Arne Tiselius
Eric Maskin	Eric Maskin
Norte de Santander (Roinn)	Norte de Santander
Peoria, Illinois	Peoria (Illinois)
420an	420-429
Aaron Ciechanover	Aaron Ciechanover
Rathad Iarainn nan Eilean	West Highland Line
Robert Sanderson Mulliken	Robert Mulliken
Laoidh Nàiseanta Choloimbia	Oh Gloria Inmarcesible
Gisborne, Sealainn Nuadh	Gisborne (stad)
Offa	Offa
Ferney-Voltaire	Ferney-Voltaire
430an	430-439
Rockford, Illinois	Rockford (Illinois)
Theodore W. Schultz	Theodore Schultz
Daniel Kahneman	Daniel Kahneman
John A. Pople	John Pople
Luis F. Leloir	Luis Federico Leloir
Spencer Perceval	Spencer Perceval
Erie, Pennsylvania	Erie (Pennsylvania)
Biadh Seapanach	Japanse keuken
Giulio Natta	Giulio Natta
Adhaltranas	Echtbreuk
440an	440-449
Tolima (Roinn)	Tolima
Vaupés (Roinn)	Vaupés (departement)
Córdoba (Roinn)	Córdoba (departement)
Cesar (Roinn)	Cesar (departement)
Huila (Roinn)	Huila (departement)
450an	450-459
Aingeal	Engel
Santander (Roinn)	Santander (departement)
John E. Walker	John E. Walker
Sucre (Roinn)	Sucre (departement)
Manizales (baile)	Manizales
Clash of Civilizations	Botsende beschavingen
Seumas I, Rìgh Alba	Jacobus I van Schotland
460an	460-469
Bòrd-dubh	Schoolbord
Fisting	Vuistneuken
Ronald George Wreyford Norrish	Ronald George Wreyford Norrish
James Meade	James Meade
Henry Taube	Henry Taube
470an	470-479
Calum Cille	Columba van Iona
Ubhal-ghort	Boomgaard
Dùthchannan Ceilteach	Keltische naties
Tunja	Tunja
480an	480-489
Lucía Etxebarría	Lucía Etxebarria
Feamainn	Zeewier
Dubravka Ugrešić	Dubravka Ugrešić
490an	490-499
Robert Fogel	Robert Fogel
John C. Polanyi	John Polanyi
Edward Smith-Stanley, 14th Earl of Derby	Edward Smith-Stanley
Seòras Santayana	George Santayana
Alasdair II na h-Alba	Alexander II van Schotland
Meta (Roinn)	Meta (departement)
William Cavendish, 4th Duke of Devonshire	William Cavendish (1720-1764)
Guainía (Roinn)	Guainía (departement)
Moya Brennan	Moya Brennan
Mary Mallon	Mary Mallon
Dolores Ibárruri	Dolores Ibárruri Gómez
Sacagawea	Sacagawea
Rudolph A. Marcus	Rudolph A. Marcus
Daibhidh II, Rìgh Alba	David II van Schotland
Nólsoy	Nólsoy
Page County, Iowa	Page County (Iowa)
500an	500-509
Orhan Pamuk	Orhan Pamuk
510an	510-519
Carpineto Romano	Carpineto Romano
Cinn Tìre	Kintyre
Castel Gandolfo	Castel Gandolfo
520an	520-529
530an	530-539
Naperville, Illinois	Naperville
Poli	Poli (Italië)
Yuan T. Lee	Yuan Lee
Douglass North	Douglass North
Dudley R. Herschbach	Dudley R. Herschbach
540an	540-549
546 RC	546 v.Chr.
George J. Stigler	George Stigler
Robert Gascoyne-Cecil, 3rd Marquess of Salisbury	Robert Gascoyne-Cecil (1830-1903)
550an	550-559
Bucaramanga	Bucaramanga
Bàrd Spàinnteach Antonio Machado	Antonio Machado (dichter)
560an	560-569
Banntach	Scharnier
Ken Kesey	Ken Kesey
MacBheatha na h-Alba	Macbeth van Schotland
570an	570-579
George Grenville	George Grenville
Archibald Primrose, 5th Earl of Rosebery	Archibald Primrose
580an	580-589
Henry Pelham	Henry Pelham
Bòdhran	Bodhrán
Charles J. Pedersen	Charles J. Pedersen
590an	590-599
William Styron	William Styron
Teth	Tet
Creuse	Creuse
600an	600-609
Fine Gael	Fine Gael
Meade County, Kansas	Meade County (Kansas)
60an RC	69-60 v.Chr.
610 RC	610 v.Chr.
610an	610-619
Sherman County, Kansas	Sherman County (Kansas)
Ball-coise Canaidianach	Canadian football
Àrd-Dhiùcachd Bherg	Groothertogdom Berg
620an	620-629
Companaidh Obrachaidh Trèanaichean	Spoorwegonderneming
Winnebago County, Iowa	Winnebago County (Iowa)
Étienne Mourrut	Étienne Mourrut
800an	800-809
Stafa	Staffa
Aol	Kalk
Sgioba nàiseanta rugbaidh na Portagail	Portugees rugbyteam
Sgioba nàiseanta rugbaidh na Spàinne	Spaans rugbyteam
630an	630-639
Hawke's Bay Region	Hawke's Bay
640an	640-649
Jefferson County, Oregon	Jefferson County (Oregon)
650an	650-659
Perry County, Alabama	Perry County (Alabama)
660an	660-669
Brìghde	Brigit
670an	670-679
Liberty County, Florida	Liberty County (Florida)
Hamilton County, Florida	Hamilton County (Florida)
Jefferson County, Kansas	Jefferson County (Kansas)
Kaitaia	Kaitaia
Caergybi	Holyhead
690an	690-699
Bainsiò	Banjo
Ralls County, Missouri	Ralls County
Grundy County, Illinois	Grundy County (Illinois)
700an	700-709
Lauderdale County, Alabama	Lauderdale County (Alabama)
70an	70-79
An Tìr Glan	Zuiver Land-boeddhisme
70an RC	79-70 v.Chr.
710an	710-719
Manatee County, Florida	Manatee County
720an	720-729
Washington County, Florida	Washington County (Florida)
