Afraga	Afrika
An t-Seapan	Japan
Aimearaga a Deas	Zuid-Amerika
Nirribhidh	Noorwegen
Sasainn	Engeland
Alba	Schotland
A' Chuimrigh	Wales
Èirinn a Tuath	Noord-Ierland
Poblachd na h-Èireann	Ierland (land)
An Ungair	Hongarije
An Spàinn	Spanje
Na Stàitean Aonaichte	Verenigde Staten
A' Bheilg	België
Lucsamburg	Luxemburg (land)
Saoghal	Aarde (planeet)
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Suòmaidh	Finland
An t-Suain	Zweden
An Danmhairg	Denemarken
A' Phòlainn	Polen
Liotuàinia	Litouwen
An Eadailt	Italië
An Eilbheis	Zwitserland
An Ostair	Oostenrijk
A' Ghrèig	Griekenland
An Tuirc	Turkije
Leann	Bier
A' Phortagail	Portugal
An Roinn-Eòrpa	Europa (werelddeel)
Àisia	Azië
Aimearaga a Tuath	Noord-Amerika
Antargtaga	Antarctica
Uicipeid	Wikipedia
Na Tìrean Ìsle	Nederland
Bod	Penis
Eabhraig Nuadh (baile)	New York City
Washington, D.C.	Washington D.C.
San Francisco	San Francisco
Berlin	Berlijn
Los Angeles	Los Angeles
Coimpiutair	Computer
Berne	Bern (stad)
Geneva	Genève (stad)
Zürich	Zürich (stad)
Eadar-lìon	Internet
Barack Obama	Barack Obama
Uruguaidh	Uruguay
Basel	Bazel (Zwitserland)
Lunnainn	Londen
Cairo	Caïro (stad)
Alexandria, Virginia	Alexandria (Virginia)
Ubhal	Appel (plant)
Paris	Parijs
Abraham Lincoln	Abraham Lincoln
Meagsago	Mexico (land)
Cuan Siar	Atlantische Oceaan
Cuan Sèimh	Grote Oceaan
Calafòrnia	Californië
Boston, Massachusetts	Boston
Di-Luain	Maandag
Am Faoilleach	Januari
An Gearran	Februari
Am Màrt	Maart
Corg	Mars (planeet)
A' Cheinia	Kenia
An Aetiòp	Ethiopië
Gàna	Ghana
An Giblean	April
An Cèitean	Mei
An t-Ògmhios	Juni
An t-Iuchar	Juli
An Lùnastal	Augustus (maand)
An t-Sultain	September
An Dàmhair	Oktober
An t-Samhain	November
An Dùbhlachd	December
Di-Màirt	Dinsdag
Di-Ciadain	Woensdag
Di-Ardaoin	Donderdag
Di-haoine	Vrijdag
Di-Sathairne	Zaterdag
Di-Dòmhnaich	Zondag
Leòmhann	Leeuw (dier)
An Fhraing	Frankrijk
Esperanto	Esperanto
Cù	Hond
An Rìoghachd Aonaichte	Verenigd Koninkrijk
Cat	Kat (dier)
Sluagh-Phoblachd na Sìne	Volksrepubliek China
Fraingis	Frans
Iasg	Vissen (dieren)
Braisil	Brazilië
Alcol	Alcohol (stofklasse)
François Hollande	François Hollande
An Ruis	Rusland
Muc-mhara	Walvisachtigen
Muir	Zee
Am Muir Dubh	Zwarte Zee
Pi	Pi (letter)
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (stad)
Quebec	Quebec (provincie)
