ᐊᑉᕆᖄ	Afrika
ᓃᑉᐊᓐ	Japan
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	Zuid-Amerika
ᓄᕐᒋ/nurgi	Noorwegen
ᓯᐸᐃᓐ	Spanje
ᐊᒥᐊᓕᑲ	Verenigde Staten
ᓄᓇ	Aarde (planeet)
ᐄᒃ	Mens
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Zweden
ᐳᓚᓐᑦ	Polen
ᓕᐋᑐᕙ	Litouwen
Italy	Italië
ᐃᐆᕌᑉ	Europa (werelddeel)
ᐊᓰᐊ	Azië
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	Noord-Amerika
ᐅᐃᑭᐱᑎᐊ	Wikipedia
ᐅᓱᒃ	Penis
ᐱᕐᓖᓐ	Berlijn
ᖃᕋᓴᐅᔭᖅ	Computer
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Appel (plant)
ᒎᒐᓪ	Google Inc.
ᒦᒃᓰᖂ	Mexico (land)
ᑳᓖᐴᕐᓃᐊ	Californië
ᒧᓇᑖᒃ	Maandag
ᔭᓐᓄᐊᓕ	Januari
ᕕᐳᐊᕆ	Februari
ᓇᑦᓯᐊᓕᐅᑦ	Maart
ᐊᐃᐳᕆᓪ	April
ᒪᐃ	Mei
ᔪᓂ	Juni
ᔪᓚᐃ	Juli
ᐊᐅᒍᔅ	Augustus (maand)
ᓯᑎᒻᐳᕆ	September
ᐅᒃᑐᐳᕆ	Oktober
ᓄᕕᒻᐳᕆ	November
ᑎᓯᒻᐳᕆ	December
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Hond
China	Volksrepubliek China
ᐅᐃᒍᐃᕐᒥᐅᖅ	Frans
ᐃᖃᓗᒃ	Vissen (dieren)
ᐊᖓᔮᕐᓇᖅᑐᖅ	Alcoholische drank
ᐅᓛᓴ	Rusland
ᐊᕐᕕᒃ	Walvisachtigen
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Quebec (provincie)
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Duitsland
ᑎᖕᒥᓲᖅ	Vliegtuig
ᐊᑭᕋᖅᑑᑎᔪᑦ	Oorlog
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Groenland
ᖂᐹ/quupaa	Cuba (land)
