ᎬᎿᎦᏍᏛ	Afrika
ᏣᏩᏂᏏ	Japan
ᏧᎦᎾᏮ ᎠᎹᏰᏟ	Zuid-Amerika
ᎠᏂᏍᏆᏂᏱ	Spanje
ᏌᏊᎢᏳᎾᎵᏍᏔᏅᏍᎦᏚᎩ ᎾᎿ ᎠᎺᏰᏟ	Verenigde Staten
ᏇᎵᏥᎥᎻ	België
ᎡᎶᎯ	Aarde (planeet)
ᏣᏥ ᏩᏒᏓᎾ	George Washington
ᏫᏂᎦᏙᎯ	Finland
ᏍᏫᏕᏂ	Zweden
ᏗᏂᎹᎦ	Denemarken
ᏉᎳᏂ	Polen
ᎢᏔᎵ	Italië
ᏍᏫᏍ	Zwitserland
ᎠᏍᏟᏯ	Oostenrijk
ᎪᎢᎯ	Griekenland
ᎬᏃ	Turkije
ᏉᏥᎦᎳ	Portugal
ᏳᎳᏛ	Europa (werelddeel)
ᏓᎶᏂᎦᏍᏛ	Azië
ᏧᏴᏢ ᎠᎹᏰᏟ	Noord-Amerika
ᏧᏁᏍᏓᎸ	Antarctica
ᏫᎩᏇᏗᏯ	Wikipedia
ᎾᏍᎩ ᏁᏛᎳᏂ	Nederland
ᏩᏙᎵ	Penis
ᏄᏯᎩ BMX	New York City
ᏆᎳᎩ ᎣᏆᎹ	Barack Obama
ᎫᎴ ᏗᏍᎪᏂᎯᏱ	Londen
ᏒᎦᏔ	Appel (plant)
ᎺᏏᎪ	Mexico (land)
ᎤᏃᎸᏔᏅ	Januari
ᎧᎦᎵ	Februari
ᎠᎾᏱᎵᏒ	Maart
ᎹᏏ	Mars (planeet)
ᎫᏬᏂ	April
ᎠᎾᏍᎬᏘ	Mei
ᏕᎭᎷᏱ	Juni
ᎫᏰᏉᏂ	Juli
ᎦᎶᏂ	Augustus (maand)
ᏚᎵᏍᏗ	September
ᏚᏂᏃᏗ	Oktober
ᏅᏓᏕᏆ	November
ᎥᏍᎩᏱ	December
ᏢᏓᏥ ᎤᏃᏕᎾ	Leeuw (dier)
ᎩᏟ	Hond
ᎩᎵᏏᏲ	Verenigd Koninkrijk
ᏪᏌ	Kat (dier)
ᏓᎶᏂᎨᏍᏛ	Volksrepubliek China
ᎠᏣᏗ	Vissen (dieren)
ᏆᏏᎵ	Brazilië
ᏲᏂᎢ	Rusland
Cetacea	Walvisachtigen
ᎠᏛᏥ	Duitsland
ᏇᎳᎷᏍ	Wit-Rusland
ᎠᏂᏛᏥ ᎦᏬᏂᎯᏍᏗ	Duits
ᏧᏁᏍᏓᎸᎯ	IJsland
ᎡᏍᏙᏂᏯ	Estland
ᏌᏓᏂ	Saturnus (planeet)
ᏣᏥ ᎡᏙᎯ ᏊᏏ	George W. Bush
ᏳᎧᎴᏂ	Oekraïne
ᏤᎩ ᏍᎦᏚᎩ	Tsjechië
ᎹᎵᏙᏫᎠ	Moldavië (land)
ᎶᎹᏂᏯ	Roemenië
ᎹᏏᏙᏂᎢᎠ	Macedonië (land)
ᎠᎵᏇᏂᏯ	Albanië
ᎢᏤᎢᏳᏍᏗ ᎦᏙᎯ	Groenland
ᏆᏍᏂᏯ ᎠᎴ ᎲᏤᎪᏫᎾ	Bosnië en Herzegovina
ᎠᏏᎵᏆᏌᏂ	Azerbeidzjan
ᎠᏂᏙᎳ	Andorra
ᎧᏌᎩᏍᏔᏂ	Kazachstan
ᎢᏂᏙᏂᏍᏯ	Indonesië
ᎠᏂᎬᎾ ᎧᏬᏂᎯᏍᏗ	Turks
ᎤᏍᏇᎩᏍᏖᏂ	Oezbekistan
ᎠᎹ	Water
ᎦᏃᏥ	Leer (stof)
ᎠᏓ	Hout
ᏥᎵ	Chili
ᎹᎫᎵ	Mercurius (planeet)
ᎠᎾᏂᏍᏓᎾᎵ	Venus (planeet)
ᎦᏬᏂᎯᏍᏗ	Taal
ᏧᏈᏓ	Jupiter (planeet)
ᏳᏪᏅᏍ	Uranus (planeet)
ᏁᏩᏚᏂ	Neptunus (planeet)
ᏡᏙ	Pluto (dwergplaneet)
ᎠᏂᎶᎻ ᎦᏬᏂᎯᏍᏗ	Latijn
