Hĭ-ciŭ	Afrika
Nĭk-buōng	Japan
Nàng Mī-ciŭ	Zuid-Amerika
Nò̤-ŭi	Noorwegen
Ĭng-gáik-làng	Engeland
Sŭ-gáik-làng	Schotland
Ŭi-ī-sê̤ṳ	Wales
Báe̤k Ái-ī-làng	Noord-Ierland
Ái-ī-làng	Ierland (land)
Hungary	Hongarije
Să̤-băng-ngà	Spanje
Mī-guók	Verenigde Staten
Bī-lé-sì	België
Luxembourg	Luxemburg (land)
Ṳ̄-dêu	Heelal
Dê-giù	Aarde (planeet)
Sĕng-mêng	Leven
Sī	Dood
Nè̤ng	Mens
Huăng-hī	Geluk (emotie)
George Washington	George Washington
Wikidata	Wikidata
Hŭng-làng	Finland
Sôi-diēng	Zweden
Dăng-măk	Denemarken
Pŏ̤-làng	Polen
Lithuania	Litouwen
É-dâi-lé	Italië
Sô̤i-sê̤ṳ	Zwitserland
Ó̤-dê-lé	Oostenrijk
Hĭ-lé-nà̤	Griekenland
Tū-ī-gì	Turkije
Bì-ciū	Bier
Può-dò̤-ngà	Portugal
Ĕu-ciŭ	Europa (werelddeel)
Ā-ciŭ	Azië
Báe̤k Mī-ciŭ	Noord-Amerika
Nàng-gĭk-ciŭ	Antarctica
Wikipedia	Wikipedia
Hò̤-làng	Nederland
Ĭng-gĕng	Penis
PHP	PHP
Niū-iók-chê	New York City
Washington, D.C.	Washington D.C.
Gô-gĭng-săng	San Francisco
Báik-lìng	Berlijn
Los Angeles	Los Angeles
Diêng-nō̤	Computer
Sŭ-là̤-sié	Zürich (stad)
Barack Obama	Barack Obama
Uruguay	Uruguay
MediaWiki	MediaWiki
Lùng-dŭng	Londen
Bìng-guō	Appel (plant)
Bă-là̤	Parijs
Mĕ̤k-să̤-gŏ̤	Mexico (land)
Dâi-să̤-iòng	Atlantische Oceaan
Tái-bìng-iòng	Grote Oceaan
California	Californië
Boston	Boston
Lā̤-bái-ék	Maandag
Huōi-sĭng	Mars (planeet)
Kenya	Kenia
Ethiopia	Ethiopië
Gŭng-ciō (nguòng-siū)	Monarch (staatshoofd)
Ghana	Ghana
Lā̤-bái-nê	Dinsdag
Lā̤-bái-săng	Woensdag
Lā̤-bái-sé	Donderdag
Lā̤-bái-ngô	Vrijdag
Lā̤-bái-lĕ̤k	Zaterdag
Lā̤-bái-nĭk	Zondag
Săi (mà-kuŏ dông-ŭk)	Leeuw (dier)
Huák-guók	Frankrijk
Kēng	Hond
Ĭng-guók	Verenigd Koninkrijk
Mà	Kat (dier)
Dṳ̆ng-huà Ìng-mìng Gê̤ṳng-huò-guók	Volksrepubliek China
Huák-ngṳ̄	Frans
Wiktionary	Wiktionary
Ngṳ̀	Vissen (dieren)
Ciū	Alcoholische drank
Bă-să̤	Brazilië
Ngò̤-lò̤-sṳ̆	Rusland
Hāi	Zee
Alabama	Alabama
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Dáik-guók	Duitsland
Belarus	Wit-Rusland
Dáik-ngṳ̄	Duits
Bĭng-dō̤	IJsland
Estonia	Estland
Tū-sĭng	Saturnus (planeet)
Hĭ-gĭ	Vliegtuig
Ciéng-cĕng	Oorlog
1	1 (getal)
2	2 (getal)
3	3 (getal)
4	4 (getal)
5	5 (getal)
0	0 (getal)
George W. Bush	George W. Bush
Latvia	Letland
Ukraine	Oekraïne
Ciék-káik	Tsjechië
Slovakia	Slowakije
Slovenia	Slovenië
Moldova	Moldavië (land)
Romania	Roemenië
Bulgaria	Bulgarije
Lò̤-mā	Rome (stad)
Macedonia Gê̤ṳng-huò-guók	Macedonië (land)
Albania	Albanië
Croatia	Kroatië
Bosnia gâe̤ng Herzegovina	Bosnië en Herzegovina
Azerbaijan	Azerbeidzjan
Andorra	Andorra
Cyprus	Cyprus
Georgia (guók-gă)	Georgië
Kazakhstan	Kazachstan
Malta	Malta (land)
Monaco	Monaco
Montenegro	Montenegro
Vaticano	Vaticaanstad
San Marino	San Marino
Gū-bă	Cuba (land)
Belize	Belize (land)
Barbados	Barbados
Java	Java (programmeertaal)
Éng-dô-nà̤-să̤-ā	Indonesië
Tū-ī-gì-ngṳ̄	Turks
Nàng-hĭ	Zuid-Afrika
Algeria	Algerije
Wiki Dù-cṳ̆-guāng	Wikisource
Uzbekistan	Oezbekistan
Huà-să	Warschau
Può-dò̤-ciū	Wijn
Cūi	Water
Chà	Hout
Diêng-sê	Televisie
Chile	Chili
Ià-sŭ	Jezus (traditioneel-christelijk)
Galileo Galilei	Galileo Galilei
Cūi-sĭng	Mercurius (planeet)
Lĭk-sṳ̄	Geschiedenis
Gĭng-sĭng	Venus (planeet)
Ngṳ̄-ngiòng	Taal
Ái	Liefde
Mŭk-sĭng	Jupiter (planeet)
Ngṳ̀ng-ò̤	Melkweg (sterrenstelsel)
Tiĕng-uòng-sĭng	Uranus (planeet)
Hāi-uòng-sĭng	Neptunus (planeet)
Tiĕng-ùng	Astronomie
Sĭng-gă-pŏ̤	Singapore
Kuŏ-hŏk	Wetenschap
Mìng-uòng-sĭng	Pluto (dwergplaneet)
Ciŏng-lài	Toekomst
Séng-mū Mā-lé-ā	Maria (moeder van Jezus)
Liechtenstein	Liechtenstein
Adolf Hitler	Adolf Hitler
Dâ̤-nê-ché̤ṳ Sié-gái Dâi-ciéng	Tweede Wereldoorlog
Wiki Gáu-kuŏ-cṳ̆	Wikibooks
Wiki Ngṳ̄-liŏh	Wikiquote
Wiki Dâi-hŏk	Wikiversity
Cṳ̆ng	Klok (tijd)
Ubuntu	Ubuntu (Linuxdistributie)
Linux	Linux
Só-hŏk	Wiskunde
Lá-dĭng-ngṳ̄	Latijn
Bahrain	Bahrein
Armenia	Armenië
Serbia	Servië
Nguŏk-giù	Maan
Istanbul	Istanboel
Ó̤-ciŭ	Australië (land)
Ŭk-lī	Natuurkunde
Argentina	Argentinië
Peru	Peru
Dièu-siēng Mìng-ciō-ciō-ngiê Ìng-mìng Gê̤ṳng-huò-guók	Noord-Korea
Gāng-puŏ-câi	Cambodja
Gū-làng-gĭng	Koran
Kṳ̄ng-lṳ̀ng	Dinosauriërs
Ĭ-sṳ̆-làng-gáu	Islam
Lì	Peer (plant)
Lùng-lùng	Wiel (voortbeweging)
Huò-bìng	Vrede
Nṳ̄-gái	Vrouw
Gū-chiŏng-kĕ̤ng	Anus (anatomie)
Nìng-mùng	Citroen (vrucht)
Bă-ciĕu	Banaan (vrucht)
Huă	Bloem (plant)
Napoléon Bonaparte	Napoleon Bonaparte
Sĕng-lī	Fysiologie
Hèng-sĭng	Ster (hemellichaam)
Nĭk-tàu	Zon
Victor Hugo	Victor Hugo
Dâi-iòng-ciŭ	Oceanië
Tái-iòng-hiê	Zonnestelsel
Ngāi	Tand
Kĭng	Waterstof (element)
Wiki Gê̤ṳng-hiōng	Wikimedia Commons
Cṳ̆	Boek (document)
Nĭk	Dag
Dĕ̤ng Timor	Oost-Timor
Màng-buŏ	Nacht
Nièng	Jaar
Ó̤-sṳ̆-lṳ̆k	Oslo
Lī-sṳ̆-buōng	Lissabon
Táng	Koolstof
Dâng	Stikstof (element)
Iōng	Zuurstof (element)
Giàng-sĭng	Planeet
Kleopatra 7-sié	Cleopatra VII
Ĭng-ngŏk	Muziek
É-dâi-lé-ngṳ̄	Italiaans (taal)
Séng Peterburg	Sint-Petersburg
Chad	Tsjaad
Lé̤ṳ	Aluminium
Sĭng-să̤-làng	Nieuw-Zeeland
Éng-dô	India
Tuvalu	Tuvalu
Tiék	IJzer (element)
Tonga	Tonga (land)
Samoa	Samoa
Solomon Gùng-dō̤	Salomonseilanden
Vanuatu	Vanuatu
Papua New Guinea	Papoea-Nieuw-Guinea
William Shakespeare	William Shakespeare
Palau	Palau (land)
Nauru	Nauru
Micronesia Lièng-băng	Micronesia
Iòng (gĭng-sṳ̆k)	Lood (element)
Marshall Gùng-dō̤	Marshalleilanden
Kiribati	Kiribati
Mūng-gū	Mongolië
Fiji	Fiji
Venezuela	Venezuela
Guók-cié chiông-gì	Schaken
Genghis Khan	Dzjengis Khan
Maine	Maine
Mā	Paard (dier)
Ū-ké	Gevechtswapen
Dông-ŭk	Dierenrijk
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Colombia	Colombia
Hŭk-gáu	Boeddhisme
Bolivia	Bolivia
Dè̤ng	Koper (element)
Trinidad gâe̤ng Tobago	Trinidad en Tobago
Sĭk-ŭk	Planten
Séng Vincent gâe̤ng Grenadines	Saint Vincent en de Grenadines
New Hampshire	New Hampshire
Séng Lucia	Saint Lucia
Séng Kitts gâe̤ng Nevis	Saint Kitts en Nevis
Cĭng-kṳ̄ng	Schimmels
Jamaica	Jamaica
Grenada	Grenada
Massachusetts	Massachusetts
Guatemala	Guatemala
Bahamas	Bahama's
Connecticut	Connecticut
Giĕ	Kip (vogel)
Antigua gâe̤ng Barbuda	Antigua en Barbuda
Hawaii	Hawaï
Honduras	Honduras
Dominica	Dominica
Dominica Gê̤ṳng-huò-guók	Dominicaanse Republiek
Dṳ̆	Varken (tam)
Báe̤k-bĭng-iòng	Noordelijke IJszee
Haiti	Haïti
El Salvador	El Salvador
Ĭ-lāng	Iran
Iraq	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Ī-sáik-liĕk	Israël
Panama	Panama (land)
Yemen	Jemen
Bâng-dŭk	Virus (biologie)
Pŏ̤-làng-ngṳ̄	Pools
Jordan	Jordanië
Nicaragua	Nicaragua
Florida	Florida (staat)
Kyrgyzstan	Kirgizië
Arizona	Arizona (staat)
Kuwait	Koeweit
Lō̤-kuŏ	Laos
Lebanon	Libanon
Oregon	Oregon
Maldives	Maldiven
Mī-ciŭ	Amerika (continent)
Utah	Utah
Ngù	Rund
Mā-lài-să̤-ā	Maleisië
Miēng-diêng	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
Qatar	Qatar
Saudi Ā-lá-báik	Saoedi-Arabië
Sri Lanka	Sri Lanka
Joseph Stalin	Jozef Stalin
Syria	Syrië
Platon	Plato
Tajikistan	Tadzjikistan
Dṳ̆ng-huà Mìng-guók	Taiwan
Aristoteles	Aristoteles
Tái-guók	Thailand
Huōi-chiă	Trein
Turkmenistan	Turkmenistan
Ā-lá-báik Lièng-hăk Dâi-gŭng-guók	Verenigde Arabische Emiraten
Băh-gĭng	Platina
Uŏk-nàng	Vietnam
Dâi-hàng Mìng-guók	Zuid-Korea
Afghanistan	Afghanistan
Gĭng	Goud
Suez Ông-ò̤	Suezkanaal
Bangladesh	Bangladesh
Mali	Mali
Sokrates	Socrates (filosoof)
Angola	Angola
Bhutan	Bhutan
Ùng-lài	Brunei
Tanzania	Tanzania
Cūi-ngṳ̀ng	Kwik
Hĭ-lĭ-pĭng	Filipijnen
Dṳ̆ng-hĭ Gê̤ṳng-huò-guók	Centraal-Afrikaanse Republiek
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Uòng-sáik	Geel (kleur)
Togo	Togo
Tunisia	Tunesië
Zambia	Zambia
Zimbabwe	Zimbabwe
Báe̤k-gĭng	Peking
Nàng Sudan	Zuid-Soedan
Benin	Benin
