ཨ་ཧྥེ་རི་ཁ།	Afrika
ཡེ་ཤུ།	Jezus (traditioneel-christelijk)
ཨེལ་ཝེ་སི་ཕིར་ཟི་ལཱེ།	Elvis Presley
གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	Galileo Galilei
ལྷག་པ།	Mercurius (planeet)
ལོ་རྒྱུས།	Geschiedenis
པ་སངས།	Venus (planeet)
སྐད་རིགས།	Taal
བརྩེ་དུང་།	Liefde
ཕུར་བུ།	Jupiter (planeet)
སྐར་མ་གནམ་རྒྱལ།	Uranus (planeet)
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Neptunus (planeet)
སེང་ག་ཕོར།	Singapore
ཚན་རིག	Wetenschap
མིར་ཡམ །	Maria (moeder van Jezus)
ལི་ཆེ་ཏན་སཏིན།	Liechtenstein
ལུས་རྩལ།	Sport
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Adolf Hitler
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Eerste Wereldoorlog
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Tweede Wereldoorlog
ཧྥུ་ཐ་ཅ་ཨ་རག	Wodka
སི་ཀོཔ་ཇི།	Skopje
རྩིས་རིག	Wiskunde
ལ་ཏིན་སྐད།	Latijn
བྷཧ་རཡིན།	Bahrein
ཨར་མེ་ནི་ཡ།	Armenië
སེར་བྷི་ཡ།	Servië
ཟླ་བ།	Maan
ཨོ་སེ་ཐེ་ལི་ཡ།	Australië (land)
དངོས་ཁམས་རིག་པ་	Natuurkunde
ཨར་ཇེན་ཊི་ན།	Argentinië
པེ་རུ།	Peru
སྐྱེ་དངོས་རིག་པ།	Biologie
བྱང་ཀོ་རི་ཡ།	Noord-Korea
ཁམ་པོ་ཛ།	Cambodja
ཁུ་རན་གསུང་རབ།	Koran
དབྱི་སི་ལམ་ཆོས་ལུགས།	Islam
ལི་པོ་ཡ་ན།	Ljubljana
རྩི་ཤིང་རིག་པ།	Plantkunde
ལིས་ཆི་ཝེ་ལིས་ས།	Lech Wałęsa
འཁོར་ལོ།	Wiel (voortbeweging)
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	Encyclopédie
ཏེའུ་ཏེ་རོ།	Denis Diderot
ཞི་བདེ།	Vrede
ལི་ཡོང་།	Lyon
བུད་མེད།	Vrouw
སོ་ཧྥི་ཡ།	Sofia (stad)
ཐང་རྗི་ཁོཏ།	Don Quichot (boek)
སྙན་ངག	Poëzie
མི་ལཱན།	Milaan (stad)
ཁྱིམ་དྲན་སེམས་ནད།	Geheugen (psychologie)
ཊུ་རིན།	Turijn (stad)
ལེ་མོན།	Citroen (vrucht)
ངང་ལག	Banaan (vrucht)
མེ་ཏོག	Bloem (plant)
ཇོ་མོ་གླང་མ།	Mount Everest
གཤག་བཅོས་རིག་པ།	Anatomie
གྲོང་ཁྱེར།	Stad
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Vesuvius (vulkaan)
ཉི་མ།	Zon
གྲོང་ཚོ།	Dorp
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Oceanië
ཉི་མའི་ཁྱིམ་རྒྱུད།	Zonnestelsel
