ཨ་ཧྥེ་རི་ཁ།	Afrika
ནི་ཡ་མེ།	Niamey
ནའུ་ཀ་ཅོ་ཊི།	Nouakchott (stad)
རིས་ཡག	Riyad (stad)
བ་མ་ཀོ།	Bamako
བེལ་གེ་རེ་ཌི།	Belgrado
ཌ་ཀར།	Dakar
བཱན་ཇཱུ་ལ།	Banjul
ཀོ་ནཀ་རི།	Conakry
བི་སའོ།	Bissau (Guinee-Bissau)
Category:སྒྲོམ་གཞི།	Categorie:Wikipedia:Sjablonen
མོང་རོ་ཝི་ཡ།	Monrovia (Liberia)
ཕུ་ར་ཡ།	Praia
ཇ་ཝ།	Java (eiland)
ཨ་ཁ་ར།	Accra
དྷ་མ་སི་ཁོ་སི།	Damascus
ཡམ་སོ་ཁེ་རོ།	Yamoussoukro
ཨོ་འ་ག་དོའུ་གོའུ།	Ouagadougou
ཕིརི་ཊའུན།	Freetown
ཡ་མ་སོན་གཙང་པོ།	Amazone (rivier)
ཨ་པུ་ཅ།	Abuja
ལཱོ་མེ།	Lomé
པོར་ཊོ་-ནོ་བོ།	Porto-Novo
ཨམ་མན།	Amman (stad)
ཡོན་དྷི།	Yaoundé
མ་ལ་བོ།	Malabo
པེ་རུ་ཐེ།	Beiroet
ལིབ་རེ་ཝིལ།	Libreville
མི་སི་ཁ་ཁྲི།	Masqat
བང་གུའི།	Bangui (Centraal-Afrikaanse Republiek)
ཀིན་ཤ་ས།	Kinshasa
བ་ར་ཛ་བི་ལི།	Brazzaville
བུ་ཇུམ་བུ་ར།	Bujumbura
ནེ་ཁོ་ཤི་ཡ།	Nicosia (Cyprus)
ཀི་ག་ལི།	Kigali (stad)
དྷོ་ཧ།	Doha
ནའི་རོ་བི།	Nairobi
ལི་ལོང་ཀུའེ།	Lilongwe (stad)
ལུ་ས་ཀ།	Lusaka (stad)
མ་ན་མ།	Manama (stad)
མ་པུ་ཊོ།	Maputo (stad)
ཀམ་པ་ལ།	Kampala
ལའུན་ཌ།	Luanda (stad)
མོ་རོ་ནི། (ཁོ་མོ་རོ་སུ།)	Moroni (Comoren)
མ་པ་པན།	Mbabane
མ་སི་རུ།	Maseru (stad)
སློབ་གྲྭ།	School (instelling)
ཨེན་ཊ་ན་ན་རི་བོ།	Antananarivo (stad)
སློབ་གྲྭ་ཆེན་མོ།	Universiteit
ག་བོ་རོ་ནི།	Gaborone
ཧ་ར་རི།	Harare
ཕི་རི་ཐོ་རི་ཡ།	Pretoria
ལོ་ཡི་སི་གྲུ་ཁ།	Port Louis (stad)
ཕིན་ཕང་སྤོ་ལོ།	Tafeltennis
སའོ་ཊོ་མེ།	Sao Tomé (stad)
ཝིན་ཌི་ཧོཡིཀ།	Windhoek
Wikipedia:Sandbox	Wikipedia:Zandbak
ཝིག་ཐོ་རི་ཡ། (སེ་ཞེལ།)	Victoria (Seychellen)
ནང་།	Huis (woning)
ཉི་ཕུའུ་ཏུན།	Neptunus (mythologie)
གྲོང་རྡལ།	Town
ཆུ་རྒྱུན།	Rivier
གཟི་རྩ་སྡེ་དགུ་	Jiuzhaigou
ཝུའུ་ལིན་ཡོན།	Wulingyuan
ལུ་ཛེར་ན།	Luzern (stad)
Category:ཉི་ཧུང་གི་ལོ་རྒྱུས།	Categorie:Geschiedenis van Japan
ཨེ་མི་ལིས་ཏིས་ཁེན་སིན།	Emily Dickinson
ཁུང་ཙི།	Confucius
Category:རྩིས་རིག	Categorie:Wiskunde
Category:རྒྱ་གར་གི་ལོ་རྒྱུས།	Categorie:Geschiedenis van India
ཀྲུའུ་པི་ཐེ།	Jupiter (mythologie)
ཏི་ཀྲུང་ཧའེ་རྒྱ་མཚོ།	Middellandse Zee
ཧང་ཀྲོའུ།	Hangzhou
ཡེ་ཤུའི་ཆོས་ལུགས།	Christendom
པེར་ལིན་ལྕགས་རི།	Berlijnse Muur
གླང་ཆེན་ཁ་བབས།	Ganges (rivier)
འབྲས།	Rijst
བྷལ་ཏྲི་མོར།	Baltimore (Maryland)
བྱ།	Vogels
པོ་ཅུ་གྷལ་གྱི་སྐད།	Portugees
ཟླ།	Maand
ཉི་ཧོང་སྐད།	Japans
གཙོ་ངོས།	Hoofdpagina
Cpu	Processor (computer)
དེ་སྦེལ།	Decibel (eenheid)
འབྲི་ཆུ	Jangtsekiang
སེ་པོ་རི་ཡ།	Siberië
ཧྥུ་རོན་སི་སི་ཀོ་ཀོའོ་ཡ།	Francisco Goya
ཧི་མ་ལ་ཡ	Himalaya
མཚོ་མོ་ཝེ་ཁེ་ཐོ་རི་ཡ།	Victoriameer
པེ་གལ་མཚེའུ།	Baikalmeer
སལ་ཝ་ཌོར་དཱ་ལི།	Salvador Dalí
ཝི་ཏོ་རེ་ཁར་པ་ཅིའོ།	Vittore Carpaccio
ཝིན་སན་ཝན་ཀའོ།	Vincent van Gogh
ཧོ་ཀུ་སའི།	Katsushika Hokusai
ཧྥ་རིས་ད་ཀ་ལོ།	Frida Kahlo
མེ་ཀེ་ལན་ཇུ་ལོ།	Michelangelo Buonarroti
པ་བུ་ལོ་པི་ཀ་སོ།	Pablo Picasso
ཨན་ཏོ་ནེལ་ལོ་ད་མེ་སི་ན།	Antonello da Messina
ར་ཧྥ་ཨེལ་ལོ་སན་ཛིའོ།	Rafaël (kunstenaar)
ཧྥ་ར་ཨན་ཇེ་ལི་ཁོ།	Fra Angelico (schilder-frater)
སན་ཌོ་པའོ་ཊི་ཅེ་ལི།	Sandro Botticelli
མ་ཏི་སུའོ་བ་ཤོ།	Matsuo Basho
པི་ཨེར་ཇོ་སེ་ཧྥེ་པུ་རུ་དོང་།	Pierre-Joseph Proudhon
མ་ཁ།	Mekka
མྰ་སྰ་ཅིའོ།	Tommaso Masaccio
མའོ་ཙེ་ཏུང་།	Mao Zedong
ཤེ་ཨན།	Xi'an
པེ་རུ་ཇི་ནོ།	Pietro Perugino
ཇང་ལུག་མེ་ལང་ཅོང་།	Jean-Luc Mélenchon
ཁ་པུལ།	Kabul (stad)
ལྷ་ས།	Lhasa
ཆགས་སྦྱོར་བྱེད་པ།	Geslachtsgemeenschap
ཆགས་པ་མཐོ་རུ་འཕེལ་བ།	Orgasme
མཚན་ཉིད་རིག་པ།	Filosofie
Category:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
རྣོ་སྦྲེང་།	Piano (instrument)
ཇ།	Thee (drank)
མཱར་ཁོ་ཕོ་ལོ།	Marco Polo
གཞུང་མེད་ལམ་སྲོལ།	Anarchisme
ཧྥ་ཤི་སིའི་རིང་ལུགས།	Fascisme
མི་རིགས་རིང་ལུགས།	Nationalisme
ནུབ་ས་ཧ་ར།	Westelijke Sahara
ཅ་ཐའེ་ཅི།	Carthago
ཨ་ཝི་ཉོང་།	Avignon
Category:གཟའ་སྐར་རིག་པ།	Categorie:Astronomie
ཏ་ཏ་ནེར་མཚོ་འགག	Dardanellen
གདང་ཡ་ཙེ།	Donald Duck (personage)
ས་ཧ་ར་བྱེ་ཐང་ཆེན་པོ།	Sahara
སི་ཐི་རཱ་སི་བུར།	Straatsburg
རྒྱུད་དྲུག	Gitaar
མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།	Homoseksualiteit
ཧོ་མུར།	Homerus
དི་ཇཱོན།	Dijon
ལུ་ག་ནོ།	Lugano (stad)
སངས་རྒྱས། (ཐ་སྙད།)	Boeddha (verlichte)
ལྷ་མེད་སྨྲ་བ་པོ།	Atheïsme
ལི་པའེ།	Li Bai
དཔེ་མཛོད་ཁང་།	Bibliotheek (algemeen)
ཁོ་སི་མོ་ཏུ་ར།	Cosimo Tura
ཆབ་སྲིད་ཀྱི།	Politiek
ཆིན་རྒྱལ་རབས།	Qin-dynastie
ཆིན་ཧྲི་ཧོང་།	Qin Shi Huangdi
ཨོ་བི་རྡི།	Ovidius
ཧན་རྒྱལ་རབས།	Han-dynastie
ལིའུ་པང་།	Han Gaozu
ཧན་ཝུའུ་ཏི།	Han Wudi
ཐོར་སི་ཐའེ།	Leo Tolstoj
མར་ཁེ་སེ་རིང་ལུགས།	Marxisme
རྒྱལ་སྲིད།	Monarchie
འཁྲབ་སྒྲགས།	Propaganda (communicatie)
བྱ་སྒྲོ་སྤོ་ལོ།	Badminton
རི་བོ་ཆི་ལི་མ་ཀྲ་ལུའོ།	Kilimanjaro (berg)
ཁ་སྐྱེལ་པ།	Zoen
ཡོན་རྒྱལ་རབས།	Yuan-dynastie
ཁ་རི་སི་ཐོའོ་ཧྥུ་ཀོ་ལུན་སྤུ་སི།	Christoffel Columbus
སེང་གེ་ཁ་འབབ	Indus (rivier)
ཅིན་རྒྱལ་རབས།	Jin-dynastie (265-420)
རྨ་ཆུ།	Gele Rivier
སྣ།	Neus
མིག	Oog (anatomie)
ལུག	Schaap (dier)
གཏུམ་ཉ།	Haaien
རྔ་མོང་།	Kamelen
འུ་འཐུང་སྲོག་ཆགས།	Zoogdieren
གླང་ཆེན།	Olifanten
འབུ་གྲོག་མ།	Mieren
མར་ག་རེ་ཐ་ཁྲ་ཆེའར།	Margaret Thatcher
མེ་ཚལ་དཀར་པོ།	Bloemkool
རྡོ་ལུ་མ།	Aubergine (plant)
བྱ་གག	Anatidae
ཨ་མ།	Moeder
ཨ་ཕ།	Vaderschap
ཕྲུ་གུ	Kind (leeftijdsgroep)
ཇང་མར་ཀི་ཨེ་རོ།	Jean-Marc Ayrault
ཨུ་རུ་སུའི་སྐད།	Russisch
ཁྲིམས།	Recht
ཡོ་རོབ་གི་ལོ་རྒྱུས།	Geschiedenis van Europa
ཧོའོ་མར་སིམ་བུ་སན།	Homer Simpson
༄༅༎ ཡོངས་ཁྱབ་གསལ་བསྒྲགས་འགྲོ་བ་མིའི་ཐོབ་ཐང༌།	Universele verklaring van de rechten van de mens
ཆའོ་ཐོ།	Giotto di Bondone
ཨན་ནི་བ་ལེ་ཁས་ར་ཅི།	Annibale Carracci
རྒྱ་སྐད།	Chinese talen
ཁྲག	Bloed
ཊོའུ་ལོའུ་སེ།	Toulouse (stad)
ཆར་པ།	Regen (neerslag)
ཟེན།	Zen
རང་བྱུང་གི་ཚན་རིག	Natuurwetenschap
འགྲིམ་འགྲུལ་བརྡ་སྒྲོན།	Verkeerslicht
འཕྲེད་བརྒལ་ལམ།	Oversteekplaats
ཝིན་སུ་ཏོན་ཆུར་ཆེལ།	Winston Churchill
སན་ཏོ་ཨོའོ་ཀོའོ་སེ་ཐིང་།	Augustinus van Hippo
ནེལ་སོན་མཱན་ཌེ་ལ།	Nelson Mandela
མར་ཏིན་ལུ་ཏར་ཁིན།	Martin Luther King
མེ་རི།	Vulkaan
སྤྲིན།	Wolk
དབྱིབས་རྩིས་རིག་པ།	Meetkunde
བརྡ་སྤྲོད་ཀྱི་གཞུང་།	Grammatica
རླུང་།	Wind (meteorologie)
དཔལ་འབྱོར་རིག་པ།	Economie
སྐད་བརྡ་རིག་པ།	Taalkunde
སྒྲ་ཚན།	Foneem
ཀེ་རི་སིའི་དབྱངས་གསལ་རེའུ་མིག	Grieks alfabet
Category:པུ་ར་ག་རི་ཡ།	Categorie:Bulgarije
རྩོམ་རིག་ཡི་གེའི་རིག་པ།	Literatuur
Category:ཧྥ་རན་སི།	Categorie:Frankrijk
Category:རོལ་དབྱངས།	Categorie:Muziek
Category:རྩོམ་རིག	Categorie:Literatuur
ཁང་ཆེན་དམར་པོའི་རྨི་ལམ།	Droom van de rode kamer
མན་གྷ།	Manga (strip)
ཨེ་ལི་ཡེ་ཏེ།	Ilias
༼མ་ཧ་བ་ར་ཏ།༽	Mahabharata
ཝ་མོ།	Vossen
ཝ་དམར།	Vos (dier)
འཁྱིལ་ཆུང་།	Trompet
ཨོག་ལེན།	Viool
ཆགས་སྦྱོར་བྱེད་སྟངས་ཀྱི་ཐོ།	Sekspositie
ལག་གཡེམ།	Masturbatie
བཤང་སྒོའི་ཆགས་སྦྱོར།	Anale seks
སློབ་གསོ།	Onderwijs
ཁྱིམ་ཚང་།	Familie (verwanten)
ཕོ་གཞོན།	Man (geslacht)
ཆང་ས།	Huwelijk
བྲན་གཡོག་རིང་ལུགས།	Slavernij
ཁོ་ཧྥེ།	Koffie
སིལ་ཁུ།	Vruchtensap
སུན་ཀྲུང་ཧྲན།	Sun Yat-sen
ཧོང་ཀོང་།	Hongkong
ཀ་ར་ཆི	Karachi
རིའོ་ཌེ་ཇ་ནེའུ་རའོ།	Rio de Janeiro (stad)
སེ་ཨུལ།	Seoel
ཧྲང་ཧའེ་གྲོང་ཁྱེར།	Shanghai
རིག་གནས་གསར་བརྗེ་ཆེན་པོ	Culturele Revolutie
ཆིང་རྒྱལ་རབས།	Qing-dynastie
ཨར་ཁི་མེའུ་ཏེ་སི།	Archimedes
ཡོའུ་ཁེ་ལེ་ཏེ།	Euclides van Alexandrië
ཨུཀ་རཡི་ནི་སྐད།	Oekraïens
ནམ་ཆོམ་སི་ཀེ།	Noam Chomsky
པུ་ཏིང་།	Pudding
ཁཱར་ལ་མར་ཁེ་སི།	Karl Marx
མོ་ཤི།	Mozes
ཧིན་ཏུའི་ཆོས་ལུགས།	Hindoeïsme
ནུ་མ།	Borst
འོད་རིག་པ་	Licht
ཀེ་རི་སིའི་སྐད།	Grieks
ཐེ་ཇི་བང་སོ།	Taj Mahal
བྱ་ཁྱིའུ།	Pinguïns
གློག་རྡུལ་འཕྲིན་སྒམ།	E-mail
ལྷ་གཅིག་ཆོས་ལུགས།	Monotheïsme
ལྷ་མང་ཆོས་ལུགས།	Polytheïsme
ཏ་ཟིག་གི་སྐད།	Perzisch
ཆོས་ལུགས།	Religie
ཨབ་ར་ཧམ།	Abraham
རོས་ནེ་དེ་ཁར་ཏེ།	René Descartes
རང་དབང་ལྷ་མོའི་འདྲ་བརྙན།	Vrijheidsbeeld (New York)
ལུམ་བི་ནི་	Lumbini (plaats)
འབར་མའི་སྐད།	Birmaans
གཅེར་བུ་བའི་ཆོས་ལུགས།	Jaïnisme
སོག་པོའི་སྐད།	Mongools
པཱ་ཁི།	Bakoe
ཡིའུ་ཐའེ་ཆོས་ལུགས།	Jodendom
ཐིམ་ཕུ།	Thimphu (stad)
སི་རི་པེ་ཀ་མཚོ་ཁུགས་གྲོང་ཁྱེར།	Bandar Seri Begawan
དྷི་ལི།	Dili (stad)
སིག་གི་ཆོས་ལུགས།	Sikhisme
ཏིན་ཏོ་རེ་ཏོ།	Tintoretto
ཝིན་ཆིའང་	Vientiane (stad)
ལོའོ་ཙེ།	Laozi
མ་ལེ།	Malé
ཡོ་ག	Yoga
པི་སི་ཁེག	Bisjkek
དུ་ཤང་པེ།	Doesjanbe
སི་མ་ཆན།	Sima Qian
ལུད་ཝིག་ཝིཏ་གེན་སི་ཏེ་ཡིན།	Ludwig Wittgenstein
ཀྲུའུ་ཞི།	Zhu Xi
འདུ་ཤེས།	Emotie
སེམས་ཁམས་རིག་པ།	Psychologie
ཐོ་མཱ་སི་ཨ་ཁི་ཝི་ནཱ་སི།	Thomas van Aquino
ཕའོ་ལོ་ཝེ་རོ་ནེ་ཟེ།	Paolo Veronese
བཅོམ་ལྡན་འདས།	Gautama Boeddha
མུ་ཧ་མད།	Mohammed
ནགས་བྱི།	Eekhoorns
བྱ་མ་བྱི།	Vliegende eekhoorns
ཁུང་ཙིའི་གཞུང་ལུགས།	Confucianisme
ཏོའོ་ཅོའོ་ཆོས་ལུགས།	Taoïsme
ཛོ་ར་སིའི་ཆོས་ལུགས།	Zoroastrisme
མིའི་ཀ་ལི།	Menselijke schedel
སྐེ།	Nek (anatomie)
ཁ།	Mond (orgaan)
ཐང་རྒྱལ་རབས།	Tang-dynastie
ཐང་ཀའོ་ཙུང་།	Tang Gaozong
གནའ་གཞུང་རོལ་དབྱངས།	Klassieke muziek
ཝུའུ་ཙེ་ཐེན།	Wu Zetian
ཐང་ཞོན་ཙུང་།	Tang Xuanzong
ཨལ་ཧྥ།	Alfa (letter)
ཨོ་མེ་ག	Omega (letter)
མིའུ།	Mu (letter)
མིང་རྒྱལ་རབས།	Ming-dynastie
ཀྲུའུ་ཡོན་ཀྲང་།	Hongwu
ཧྥའེ།	Phi (letter)
ཙོ་ལུའུའི་སྐད།	Zoeloe (taal)
ཕའེ་ཐ་གྷོ་ར་ཟི།	Pythagoras
ཕཱར་ཧྥེ་ནན།	Parthenon
དབུལ་ཕོངས།	Armoede
རྩ་རྫས་ཀྱི་དུས་འཁོར་རེའུ་མིག།	Periodiek systeem
ཅོར་ཅི་ཐོན། (གུ་ཡ་ན།)	Georgetown (Guyana)
རང་ཤི་རྒྱབ་པ།	Zelfmoord
ཆགས་སྦྱོར་གྱི་མཁོ་ཆས།	Seksspeeltje
ཆགས་སྦྱོར་གྱི་ཨ་ལས་པད་གོག	Opblaaspop
ཤིང་།	Boom (plant)
ལེམ་ད།	Lambda
ཆུར་བ།	Kaas
རྒུནའབྲུམ།	Druif
ཞོ་ཁོག	Aardappel
སྲན་སེར།	Sojaboon
འཕྲུལ་འཁོར།	Machine
གཅུ་འཛེར།	Schroef (verbinding)
གསར་འགོད།	Journalistiek
ཚགས་པར།	Krant
རིག་གནས།	Cultuur
ལེགས་སྦྱར་སྐད།	Sanskriet
སྨན།	Geneeskunde
ས་ར་ཇི་བོ།	Sarajevo
ཚྭ།	Keukenzout
Category:པུ་རུ་ཟིལ།	Categorie:Brazilië
Category:རོ་མ་ནི་ཡ།	Categorie:Roemenië
དབང་ཕྱུག	Shiva
ཁྱབ་​འཇུག	Vishnoe
ཚངས་པ།	Brahma (hindoeïsme)
རྔ།	Trommel
གླིང་བུ།	Fluit (muziekinstrument)
རོལ་རྩེད།	Spel
མིག་མངས་སྒོར་སྒོར།	Go (bordspel)
ཁ་ར་ཏེ།	Karate
འབོལ་འཇུ།	Judo
རྩེད་ཆས།	Speelgoed
གློག་བརྙན།	Film (cinematografie)
འགུལ་རིས་གློག་བརྙན།	Animatie (media)
སོ་ནམ།	Landbouw
སྒྲ་	Geluid
དྲོད་ཚད་	Temperatuur
དུས་ཚོད།	Tijd
ཤོག་བུ།	Papier
གྲངས་ཀ།	Getal (wiskunde)
སྟོང་ཁེའུ།	Kilogram
སྨི།	Meter
སྐར་ཆ།	Seconde
ཨ་ཤོམ།	Mais
ནས།	Gerst
ཁེལ།	Kelvin (eenheid)
སྤྱི་ཧྲན།	Liter
རི་མོ།	Schilderkunst
འོད་པར་རྒྱབ་ཐབས།	Fotografie
ཟློས་གར།	Theater (kunstvorm)
ཞབས་བྲོ།	Dans
ཁྲུང་ཆིན་གྲོང་ཁྱེར།	Chongqing
ཐན་ཅིན ་གྲོང་ཁྱེར།	Tianjin
ཝུའུ་ཧན་གྲོང་ཁྱེར།	Wuhan
རྒྱལ་ཁབ་དག་གི་མིང་།	Lijst van landen in 2015
ལོ་རྒྱུས་བྱུང་གོང་གི་དུས་མཚམས།	Prehistorie
རྡོ་ཆས་སྤྱོད་པའི་དུས་རབས།	Steentijd
ཟངས་ཆས་སྤྱོད་པའི་དུས་རབས།	Bronstijd
ལྕགས་ཆས་སྤྱོད་པའི་དུས་རབས།	IJzertijd
གནའ་རབས་ཀེ་རི་སི།	Oude Griekenland
དོམ།	Beren
༄༅།། གངས་དཀར་སྲས་མོ།	Sneeuwwitje
༄༅།། ཞྭ་མོ་དམར་ཆུང་།	Roodkapje
མིག་གིའི་ཙི་ཙི།	Mickey Mouse
མིན་ནིའི་ཙི་ཙི།	Minnie Mouse
མངལ་སྦུམ་པ།	Zwangerschap
བེ་ཤིང་།	Eik
ཐང་ཤིང་།	Den (geslacht)
འབྲས་སྐྲན།	Kanker
སྐྱུག་ཤལ་འགོས་ནད།	Cholera
གྲོ་ནག	Rogge (graan)
གྲི་རྩེད།	Schermen
ཡུག་པོ།	Haver
གྲོ།	Tarwe
འབྲུ་རིགས།	Graan
འོན་པ	Doofheid
ན་ཚ།	Ziekte
བེ་རེ་སི་ཊི། (ཧྥ་རན་སི།)	Brest (Frankrijk)
གློ་གཅོང་གི་ནད།	Tuberculose
མ་ཅང་།	Mahjong
ཁང་རྩིག་བཟོ་རིག	Architectuur
ཟམ་པ།	Brug (bouwwerk)
མོ་ན་ལི་ས།	Mona Lisa
ལྕགས་རི་རིང་པོ།	Chinese Muur
གློག་རིག་པ།	Elektriciteit
དཔའ་དམ།	Zwaard (wapen)
ཝོ་ཁ་ལུ་ཟེ།	Vaucluse (departement)
ཨུམ་བེར་ཏོ་ཨེ་ཀོ།	Umberto Eco
ཁྲབ་ལྡན་འཁོར་ལོ།	Tank (voertuig)
ཕོ་ལོ་ཁོའེ་ལོ།	Paulo Coelho
མ་ཇུ་རོ།	Majuro
མ་རིན་ལེ་པེན།	Marine Le Pen
འབྲུག་ཚགས།	Lychee
བེ་ཏ།	Kokospalm
སེ་འབྲུ།	Granaatappel
ཁམ་བུ།	Perzik
ཚ་ལུ་མ།	Sinaasappel
སྤྲེལ་ཁམ།	Kiwi (fruit)
ཀྲོང་སྐད།	Zhuang (taal)
དྲི་ཞིམ་ལྡན་པའི་རྩྭ།	Vanille (aroma)
ཡུལ་གོར་སྐད།	Oeigoers
ཀ་རཱ་ར།	Carrara
འབུར་མདའ།	Nokkenas
ཐའེ་པོ་ཆུ་བོ།	Tiber
ནུ་ཤུབ།	Beha
ཨན་ཇེ་ལི་ནའ་ཇོའོ་ལི།	Angelina Jolie
ཨ་རབ་སྐད།	Arabisch
ཧོན་ཤུ།	Honshu
སྲུང་ཤུབས།	Condoom
ཥིང་ཏ་ལ་	Palmenfamilie
མོ་ཟ་རེལ་ལ། (ཆུར་བ།)	Mozzarella
ཁོར་སི་ཁ་གླིང་ཕྲན།	Corsica
པིས་ཐ།	Bèta (letter)
གྷེ་མ།	Gamma (letter)
དེལ་ཐ།	Delta (letter)
ཨེ་ཕི་སེ་ལོན།	Epsilon
ཟེས་ཐ།	Zèta
ཨིས་ཐ།	Èta
ཐིས་ཐ།	Thèta
ཨའོ་ཐ།	Iota (letter)
ཁེ་ཕི།	Kappa (letter)
ནིའུ།	Nu (letter)
ཁི་སའེ།	Xi (letter)
ཨོ་མི་ཁི་རོན།	Omikron
རོའུ།	Rho (letter)
སིག་མ།	Sigma (letter)
ཐོ།	Tau (letter)
ཡུབ་སི་ལོན།	Ypsilon
ཁའེ།	Chi (letter)
ཕི་སའེ།	Psi (letter)
ཀླུ་ཥིང་	Cactusfamilie
གོ་རེ་ཤིང་འབྲས།	Broodboom
སྒྲོག་སྟེང་རྐང་རྩེད་སྤོ་ལོ།	Tafelvoetbal
ཧུའུ་ཅིན་ཐོའོ།	Hu Jintao
ཞིས་ཅིན་ཕིང་།	Xi Jinping
ཤ་བ་སྐེ་རིང་།	Giraffe (dier)
ཕོ་རོའོ་ཝང་སི་ཝལ་ཕེས་ཁོ་ཏེ་ད་ཟུར།	Provence-Alpes-Côte d'Azur
མཆུ།	Lip
ཀོང་ཏུང་ཞིང་ཆེན།	Guangdong
ཀོའོང་ཤི་ཀྲོང་རིགས་རང་སྐྱོང་ལྗོངས།	Guangxi
པར་ཆས།	Fotocamera
སྲམ་ངང་མཆུ་ཅན།	Vogelbekdier
དུ་ཅིའོ།	Duccio di Buoninsegna
རྩིགས་རྨིགས།	Gekkonidae
རྩངས་པ།	Hagedissen
ཁ་ཏ་ཉ། (ཞིང་ཆེན།)	Catania (provincie)
མེ་སི་ན། (ཞིང་ཆེན།)	Messina (provincie)
ཕ་ལེར་མོ། (ཞིང་ཆེན།)	Palermo (provincie)
དཔུང་པ།	Schouder
མི་དི་ཕི་རེ་ནེ།	Midi-Pyrénées
ལི་ཞོའོ་ལུང་།	Bruce Lee
Template:Link FA	Sjabloon:Link FA
ཁྲིམས་དཔོན།	Rechter
ཀོང་ཀྲོའུ་གྲོང་ཁྱེར།	Kanton (stad)
ཅང་རྩེ་མིན།	Jiang Zemin
ཨུ་རུམ་ཆི་གྲོང་ཁྱེར།	Ürümqi
ཅང་སུའུ་ཞིང་ཆེན།	Jiangsu
ཀྲེ་ཅང་ཞིང་ཆེན།	Zhejiang
ཨེཏ་ན་རི་བོ།	Etna (vulkaan)
རེ་འབྱམས་མཆུ་རིང་།	Gaviaal
ཇི་ཡོ་ཝ་ནི་བེལ་ལི་ནི།	Giovanni Bellini
བོད་ཡུལ།	Tibet (gebied)
བོད་རང་སྐྱོང་ལྗོངས།	Tibetaanse Autonome Regio
བསྟན་འཛིན་རྒྱ་མཚོ།	Tenzin Gyatso (dalai lama)
ཨར་ལེ་ཀི་ནོ།	Harlekijn (personage)
ཐང་ཏ་ལོ་ནེ།	Pantalone
ལག་ཐོག་ཁ་དཔར།	Mobiele telefoon
འགག་བརྡར་གྱི་སྒྲ།	Affricaat
ཁང་ཞི། (གོང་མ།)	Kangxi
ཧོ་ནོ་ལུ་ལུ།	Honolulu
ཀོ་རི་ཡ།	Korea
ཀོའོ་ཤིན་ཅན།	Gao Xingjian
སྤྱང་ཀི	Wolf
ཕོང་ཡང་།	Pyongyang
ཡེ་དེན་གྱི་ལདུམ་རའི་སྐོར།	Hof van Eden
༩ (གྲངས་ཀ།)	9 (getal)
ཆན་ལུང་། (གོང་མ།)	Qianlong
ཧའེ་ལུང་ཅང་ཞིང་ཆེན།	Heilongjiang
ཁྱུ་དགའ།	Pelecanus
པོ་དོལ་སིག	Podolsk
བོ་ནོ་བོ།	Bonobo
པུ་ཁ་རེ་སིད།	Boekarest
ཨཱལ་གྷོར།	Al Gore
ལུའུ་བུ་ཝི་ཕོ་བྲང་།	Louvre
ཐེམ་ཟི་གཙང་པོ།	Theems
ཐིས་རན།	Tirana (stad)
བོང་བུ།	Ezel (dier)
སི་ཁྲོན་ཞིང་ཆེན།	Sichuan
ཡེ་ཤུའི་འཁྲུངས་སྐར།	Kerstmis
ལ་ཊིན་ནས་ཆད་པའི་ཡུལ་སྐད།	Romaanse talen
སེ་ཏེའི་ཧྥུ་འོ་པོ་སེ།	Steve Jobs
ཧིན་རྡུ་དང་ཡོ་རོབ་ཀྱི་སྐད།	Indo-Europese talen
སྟག	Tijger
ཅི་སི་ནའུ།	Chisinau
རང་བྱུང་གྲངས།	Natuurlijk getal
སྤྱི་ཚོགས་རིག་པ།	Sociologie
རྒྱལ་སྤྱིའི་སྒྲ་རྟགས།	Internationaal Fonetisch Alfabet
ཧའོ་པེ་ཞིང་ཆེན།	Hebei
ཨོ་རི་ས།	Odisha
པན་ཇབ།	Punjab (India)
མེ་ཊི་ཛི།	Metz
རི་འཛེག་ལུས་རྩལ།	Klimsport
ཚྭ་མཚོའི་གྲོང་ཁྱེར།	Salt Lake City
༧ (གྲངས་ཀ།)	7 (getal)
༨ (གྲངས་ཀ།)	8 (getal)
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
གཟའ་འཁོར།	Week
ཤ་བ།	Hertachtigen
སྒོག་ལོག	Knoflook
མིའི་རིགས་དཔྱད་པའི་རིག་པ།	Antropologie
རྡོ་ཀུབ།	Cucumis sativus
ཝུ་ལན་བ་ཐུར	Ulaanbaatar
ཨ་ཧྲི་ཁ་པད།	Asjchabad
དཀར་པོ།	Wit
ནག་པོ།	Zwart (kleur)
ཙོང་རིལ།	Ui (plant)
༦ (གྲངས་ཀ།)	6 (getal)
ལྡུམ་སྒོང་།	Tomaat
ཨ་ཊི་ལཱན་ཊཱ།	Atlanta
ཝེ་ལིང་ཐོན།	Wellington (stad in Nieuw-Zeeland)
ཇི་མི་ཀར་ཀྲར།	Jimmy Carter
ཝ་ལེ་ཐ།	Valletta
༡༠ (གྲངས་ཀ།)	10 (getal)
ཇོའོར་ཇེ་ཁ་ལོན་ནེ།	George Clooney
ཨིལ་དཨཱཨུཥ	Lila Downs
ཤ་གཟིག	Jachtluipaard
ནམ་དུས།	Seizoen
ཝན་ཁུ་ཝེར།	Vancouver
འུག་པ།	Uilen (orde)
