Aphrika	Afrika
Iskay ñiqin pachantin maqanakuy	Tweede Wereldoorlog
Köln	Keulen (stad)
Pacha tupuq	Klok (tijd)
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Szczecin	Szczecin
Yupay yachay	Wiskunde
U2	U2 (band)
Latin simi	Latijn
Bahrayn	Bahrein
Arminya	Armenië
Sirbya	Servië
Killa	Maan
Istanbul	Istanboel
Awstralya	Australië (land)
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Natuurkunde
Arhintina	Argentinië
Piruw	Peru
Kawsay yachay	Biologie
Chusun Runakapaq Runallaqta Republika	Noord-Korea
Kambuya	Cambodja
Quran	Koran
Dinusawru	Dinosauriërs
Suwuluhiya	Zoölogie
Islam	Islam
Pira	Peer (plant)
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Butanika	Plantkunde
Lech Wałęsa	Lech Wałęsa
Qalla	Wiel (voortbeweging)
Thak	Vrede
Lyon	Lyon
Iwrupa Huñu	Europese Unie
Rhône-Alpes	Rhône-Alpes
Warmi	Vrouw
Sofiya	Sofia (stad)
Witkhu	Aquaduct (watergang)
Ñ	Ñ
Don Quijote	Don Quichot (boek)
Harawi	Poëzie
Antañiqiq añaw	Computervirus
Milano	Milaan (stad)
Yuyay	Geheugen (psychologie)
Torino	Turijn (stad)
Aka	Ontlasting
Sip'uti	Anus (anatomie)
Puquy k'allku	Citroen (vrucht)
Émile Zola	Émile Zola
666	666
Tuktu	Bloem (plant)
Chomolungma	Mount Everest
Kurkumanta yachay	Anatomie
Hatun llaqta	Stad
Napoléon Bonaparte	Napoleon Bonaparte
Quyllur	Ster (hemellichaam)
Inti	Zon
Hanaq pacha	Hemelgewelf
Louis Pasteur	Louis Pasteur
Achkiy wata	Lichtjaar
Uchuy llaqta	Dorp
Victor Hugo	Victor Hugo
Usiyanya	Oceanië
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Atletiek
Inti Llika	Zonnestelsel
Baltiku hatun qucha	Oostzee
Trieste	Triëst (stad)
Kiru	Tand
Yakuchaq	Waterstof (element)
Ilyu	Helium
Ukhu pacha	Hel (mythologie)
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lityu	Lithium (element)
Berilyu	Beryllium
Ruqyaq	Luidspreker
Liwru	Boek (document)
P'unchaw	Dag
Anti Timur	Oost-Timor
Tuta	Nacht
Wata	Jaar
Pachakwata	Eeuw
Łódź	Łódź (stad)
Rhein	Rijn
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	Allerheiligen
Katowice	Katowice
Luís de Camões	Luís de Camões
Siris (tuna puriq quyllur)	Ceres (dwergplaneet)
Lisboa	Lissabon
Rzeszów	Rzeszów
Haumea (puriq quyllur)	Haumea
Makemake (tuna puriq quyllur)	Makemake
Eris (tuna puriq quyllur)	Eris (dwergplaneet)
Lionel Messi	Lionel Messi
Padova	Padua (stad)
Boru	Boor (element)
Nicolaus Copernicus	Nicolaas Copernicus
K'illimsayaq	Koolstof
Alessandro Del Piero	Alessandro Del Piero
Qullpachaq	Stikstof (element)
Bergamo	Bergamo (stad)
Muksichaq	Zuurstof (element)
Inter Milano	FC Internazionale Milano
Pachahina	Planeet
Kleopatra VII	Cleopatra VII
Taki kapchiy	Muziek
Venezia	Venetië (stad)
Rennes	Rennes
Lille	Rijsel
Moskwa	Moskou
Flur	Fluor (element)
Italya simi	Italiaans (taal)
Niyun	Neon (element)
Chihuahua suyu	Chihuahua (staat)
Sankt Peterburg	Sint-Petersburg
Chad	Tsjaad
Natriyu	Natrium
Chincha	Noord (windstreek)
Qunta q'illay	Magnesium
Ch'aqu q'illay	Aluminium
Musuq Silanda	Nieuw-Zeeland
Urin	Zuid
Indya	India
Ullayayaq	Silicium
Fransyu	Francium
Tuwalu	Tuvalu
Phusphuru	Fosfor
Khillay	IJzer (element)
Tunqa	Tonga (land)
Kunti	West
Alessandro Volta	Alessandro Volta
Salina	Zwavel
Samwa	Samoa
Anti	Oost (windstreek)
Salumun wat'akuna	Salomonseilanden
Wanwatu	Vanuatu
Molière	Molière (schrijver)
Kluru	Chloor (element)
Delft	Delft
Papwa Ñukini	Papoea-Nieuw-Guinea
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	Zuid-Holland
Palaw	Palau (land)
Argun	Argon
Nawru	Nauru
Noord-Holland pruwinsya	Noord-Holland
Mikrunisya (mama llaqta)	Micronesia
Kalyu	Kalium
Zeeland pruwinsya	Zeeland (provincie)
Isku q'illay	Calcium
Flevoland pruwinsya	Flevoland
Titi	Lood (element)
Marshall Wat'akuna	Marshalleilanden
Kiribati	Kiribati
Mungul suyu	Mongolië
Phiyi	Fiji
Iskandyu	Scandium
Titanyu	Titanium
Winisuyla	Venezuela
Qhapaq chunkana	Schaken
Wanadyu	Vanadium
Maine suyu	Maine
Krumu	Chroom (element)
Kawallu	Paard (dier)
Amsterdam	Amsterdam
Ayñi	Gevechtswapen
Uywa	Dierenrijk
Surinam	Suriname
Manganisu	Mangaan
Parawayi	Paraguay
Wayana	Guyana
Kapchiy	Kunst
Ikwadur	Ecuador
Renyu	Renium
Kulumbya	Colombia
Kubaltu	Kobalt
Wolframyu	Wolfraam
Nikil	Nikkel
Muntipuquy	Aardbei
Budismu	Boeddhisme
Groningen	Groningen (stad)
Puliwya	Bolivia
Osmiyu	Osmium
Groningen pruwinsya	Groningen (provincie)
Anta	Koper (element)
Trinidad Tubaguwan	Trinidad en Tobago
Yura	Planten
Tsinku	Zink (element)
New Hampshire suyu	New Hampshire
Santa Lusiya wat'a	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
San Kits Niwiswan	Saint Kitts en Nevis
K'allampa	Schimmels
Shamayka	Jamaica
Grinada	Grenada
Friesland pruwinsya	Friesland
Massachusetts suyu	Massachusetts
Drenthe pruwinsya	Drenthe
Overijssel pruwinsya	Overijssel
Watimala	Guatemala
Gelderland	Gelderland
Utrecht pruwinsya	Utrecht (provincie)
Bahamakuna	Bahama's
Connecticut suyu	Connecticut
