Aphrika	Afrika
Aphruasyatiku rimaykuna	Afro-Aziatische talen
2019	2019
Ayti wat'a	Hispaniola
Harrisburg (Pennsylvania)	Harrisburg (Pennsylvania)
Qhurita	Peterselie
Llasaq kay	Gewicht
2017	2017
2018	2018
Kilta rimaykuna	Keltische talen
Takana	Hamer (gereedschap)
Rimaykunap ayllun	Taalfamilie
6 ñiqin pachakwata kñ	6e eeuw v.Chr.
1 ñiqin pachakwata kñ	1e eeuw v.Chr.
2 kñ	2 v.Chr.
1 kñ	1 v.Chr.
2 ñiqin pachakwata kñ	2e eeuw v.Chr.
Washington	Washington
Racibórz	Racibórz
Pichilemu	Pichilemu
Aycha uquq ñuñuq	Roofdieren
Hillurina yura rikch'aq ayllu	Orchideeënfamilie
Pallaysu	Kakkerlakken
Unchuchukuy	Wezel (dier)
Iskaylla rapra	Tweevleugeligen
Qatasqa muruyuq	Bedektzadigen
Phan Thiet	Phan Thiết
3 ñiqin pachakwata kñ	3e eeuw v.Chr.
Llamp'uka	Weekdieren
K'uslulu	Lieveheersbeestjes
Antoni Gaudí	Antoni Gaudí
Iskay ruk'anayuq	Evenhoevigen
Trenton (New Jersey)	Trenton (New Jersey)
4 ñiqin pachakwata kñ	4e eeuw v.Chr.
2020	2020
Quyllur llaqtayuq wawamanta	De kleine prins
5 ñiqin pachakwata kñ	5e eeuw v.Chr.
7 ñiqin pachakwata kñ	7e eeuw v.Chr.
Arpay	Vermogen (natuurkunde)
8 ñiqin pachakwata kñ	8e eeuw v.Chr.
Rumi millma	Mossen
Asulun	Wilde eend
Yaku quyllur	Zeesterren
Awitu	Zilverspar
Kalalit simi	Groenlands
Alamu	Populier
Pinchikilla hark'ay	Elektrische weerstand (eigenschap)
123 kñ	123 v.Chr.
234 kñ	234 v.Chr.
Lagartu	Krokodilachtigen
Qaraqruyuwa	Kreeftachtigen
Lakachu	Tweekleppigen
Kobe Bryant	Kobe Bryant
Hap'iq pisqu	Falconiformes
K'apa challwa	Kraakbeenvissen
Ch'ulla ruk'anayuq	Onevenhoevigen
Chukcha k'utu	Libellen
Leeuwarden	Leeuwarden (stad)
Ruysiñur	Nachtegaal
Ch'antasqa tuktuyuq rikch'aq ayllu	Composietenfamilie
Rinrisapa khankiq	Haasachtigen
Haya	Fagus
Ninakuru	Glimwormen
9 ñiqin pachakwata kñ	9e eeuw v.Chr.
10 ñiqin pachakwata kñ	10e eeuw v.Chr.
Pinchikilla mast'ay	Elektrische spanning
Yaku waka	Zeekoeien
Ura sahun simi	Nederduits
Yaka-yaka	Spechten
K'arachiq	Neteldieren
Berber rimaykuna	Berbertalen
Mölnlycke (Suysya)	Mölnlycke
Sillwi kuru	Ringwormen
600	600
400	400
300	300
Muruyuq	Zaadplanten
Waranqachaki	Duizendpotigen
Palama uquq ñuñuq	Insecteneters
Antilupi	Antilopen
Chupasapa ukucha	Muridae
Eskimo aleut rimaykuna	Eskimo-Aleoetische talen
Hermann Hesse	Hermann Hesse
Klawil yura rikch'aq ayllu	Anjerfamilie
Wayra tanqana	Zeil (schip)
Madeira	Madeira (gebied)
Purus mayu	Purus (rivier)
T'ika pilli	Klein hoefblad
Niccolò Cusano Yachay Suntur	Università degli Studi Niccolò Cusano
Killa mit'a	Schijngestalten
Montpelier (Vermont)	Montpelier (Vermont)
Tilburg	Tilburg (gemeente)
1040 watakuna	1040-1049
Sullu	Foetus
Luis Suárez	Luis Alberto Suárez
Qipuncha yura rikch'aq ayllu	Ruwbladigenfamilie
Fukuoka	Fukuoka (stad)
Yuraqkunka suksu	Beflijster
San Andrés wan Providencia suyu	San Andrés en Providencia
Bolívar llaqta (Winisuyla)	Ciudad Bolívar (Venezuela)
Arctium lappa	Grote klit
Na diné rimaykuna	Na-Denétalen
Ch'ullasimi	Sorubim lima
Willk'uyuyu	Tuinkers
Kallpaq suntu	Loopkevers
Nihun hatun qucha	Japanse Zee
Ch'uchu yura rikch'aq ayllu	Zeepboomfamilie
Tullu challwa	Beenvisachtigen
Pachakwatakuna	Lijst van eeuwen
Uma usa	Hoofdluis
Athapaska rimaykuna	Athabaskische talen
Iwrafrasya	Afrika-Eurazië
Makacha	Bellis
Ch'uspi	Vliegen (dieren)
Qiwlla	Meeuwen (vogels)
Ch'iti ch'uspi	Muggen
Chawpi Awya Yala	Centraal-Amerika
Tampu wasi	Hotel
Suni waqracha	Ensifera
Taki	Zangkunst
Pikikuy	Kleine geelpootruiter
Akan simi	Akan (taal)
Kawallu chupa	Paardenstaart (geslacht)
Kanila	Kaneel
Jefferson City (Missouri)	Jefferson City (Missouri)
Jackson (Mississippi)	Jackson (Mississippi)
Philli-philli	Biggenkruid
Augusta (Maine)	Augusta (Maine)
Baton Rouge (Louisiana)	Baton Rouge
Lansing (Michigan)	Lansing (Michigan)
Amhara simi	Amhaars
Concord (New Hampshire)	Concord (New Hampshire)
Askanku	Egels
Lincoln (Nebraska)	Lincoln (Nebraska)
Annapolis (Maryland)	Annapolis (Maryland)
Apiyu	Selderij
Pillpintu	Vlinders
Isparaw	Asperge
Shinkitu	Bromvliegen
Masu	Vleermuizen
Allqitu	Kieviten en plevieren
36	36
Chukcha	Haar (zoogdier)
Iruru muyu	Omtrek
Siwanku	Geelkopcaracara
Springfield (Illinois)	Springfield (Illinois)
Achuqalla	Kleine marters
T'ika k'arachiq	Bloemdieren
Suqus	Riet
Maya hawaykawsay	Mayacultuur
Tawantinsuyu	Inca's
Punku p'anqa: Rimay	Portaal:Taal
Frankfort (Kentucky)	Frankfort (Kentucky)
Pruphisyun	Beroep
Anis	Anijs
Sulluy	Miskraam
Parya	Passer (geslacht)
P'acha	Textiel
Saint Paul (Minnesota)	Saint Paul (Minnesota)
Lahti	Lahti
Christopher Marlowe	Christopher Marlowe
Francisco Franco	Francisco Franco
Hatun yaya	Bisschop
Martti Ahtisaari	Martti Ahtisaari
Willis Tower	Willis Tower
Canterbury	Canterbury (Verenigd Koninkrijk)
Maniche	Maniche (voetballer)
Montgomery (Alabama)	Montgomery (Alabama)
Asam simi	Assamees
Juneau (Alaska)	Juneau (Alaska)
Chunwa	China
Beatrix Urasuyu-manta	Beatrix der Nederlanden
815	815
816	816
Inuyt simi	Inuktitut
822	822
840	840
823	823
811	811
771	771
Puka qura	Schapenzuring
888	888
768	768
851	851
205	205
159	159
107	107
162	162
103	103
802	802
804	804
119	119
Chengdu	Chengdu
118	118
Ewe simi	Ewe (taal)
801	801
807	807
806	806
152	152
240	240
218	218
655	655
496	496
238	238
197	197
451	451
775	775
489	489
784	784
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
Michiy	Weiland
636	636
408	408
464	464
410	410
956	956
952	952
658	658
650	650
518	518
70	70
Kuraka	Burgemeester
81	81
69	69
87	87
65	65
66	66
67	67
55	55
34	34
44	44
35	35
64	64
504	504
Asuka	Zeeroofdieren
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
978	978
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
Zhengzhou	Zhengzhou
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
Umalliq	President
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mikhail Gorbachov	Michail Gorbatsjov
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
758	758
350	350
Mama Tirisa Kolkatamanta	Moeder Teresa
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
Cartago (Kustarika)	Cartago (stad)
648	648
686	686
Limón (Kustarika)	Puerto Limón
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
Puntarenas	Puntarenas (stad)
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
225	225
311	311
220	220
541	541
642	642
Oscar Wilde	Oscar Wilde
390 watakuna	390-399
313	313
180	180
794	794
587	587
530	530
609	609
Kiribati simi	Kiribatisch
497	497
540	540
428	428
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
350 watakuna	350-359
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
291	291
48	48
Chamiku	Doornappel
97	97
56	56
93	93
57	57
Ransis Pulinisya	Frans-Polynesië
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
Altu llaqta	El Alto (La Paz)
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
508	508
Waska	Touw
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
630	630
614	614
505	505
446	446
791	791
557	557
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
521	521
92	92
597	597
329	329
Kraków	Krakau
133	133
413	413
258	258
Chhukruna	Snavel
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
191	191
450	450
612	612
635	635
611	611
534	534
488	488
607	607
524	524
282	282
472	472
471	471
Guadalupe Pallan (Mishiku)	Onze-Lieve-Vrouw van Guadalupe
490	490
316	316
797	797
511	511
295	295
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Yapay	Optellen
284	284
283	283
Chikichasqa Rikch'aq Puka Sutisuyu	Rode Lijst van de IUCN
241	241
243	243
262	262
498	498
336	336
334	334
266	266
Saqmanakuy	Boksen
261	261
470	470
349	349
271	271
275	275
292	292
296	296
345	345
431	431
380 watakuna	380-389
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
Ruquna	Mes (voorwerp)
FC Schalke 04	FC Schalke 04
288	288
Carlos V	Keizer Karel V
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
Diyula simi	Dioula
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Siwra	Zebra (dier)
276	276
Miskita	Moskee
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
214	214
213	213
212	212
Chahta simi	Choctaw (taal)
228	228
227	227
149	149
174	174
Bemba simi	Bemba (taal)
189	189
199	199
Dzonkha simi	Dzongkha
141	141
Kariwa rimaykuna	Caribische talen
132	132
Parqu Qucha (Buliwya)	Parququcha
125	125
123	123
147	147
Bantu rimaykuna	Bantoetalen
144	144
198	198
178	178
177	177
Urin anti asya rimaykuna	Austroaziatische talen
187	187
Janq'u Uma	Ancohuma
195	195
Wallpasqa simi	Kunsttaal
186	186
347	347
620	620
Siwuyanu simi	Cebuano
Bambara simi	Bambara (taal)
624	624
605	605
629	629
Chinchay	Ocelot
616	616
615	615
Chichewa simi	Nyanja (taal)
644	644
646	646
633	633
637	637
Phiyi simi	Fijisch
436	436
434	434
Drawida rimaykuna	Dravidische talen
293	293
427	427
185	185
360 watakuna	360-369
Chuwash simi	Tsjoevasjisch
321	321
Ganda simi	Luganda
327	327
430	430
Tsalaki simi	Cherokee (taal)
Kri simi	Cree (taal)
Leon Trotsky	Leon Trotski
Algonkin rimaykuna	Algonkische talen
447	447
Little Rock (Arkansas)	Little Rock (Arkansas)
569	569
568	568
444	444
IUPAC	IUPAC
796	796
Fula simi	Fula (taal)
Yupa huqariy	Machtsverheffen
798	798
Mam simi	Mam (taal)
793	793
Eugène Delacroix	Eugène Delacroix
685	685
Hartford (Connecticut)	Hartford (Connecticut)
799	799
683	683
Musiyu	Museum
274	274
Dover (Delaware)	Dover (Delaware)
579	579
Iranu rimaykuna	Iraanse talen
281	281
306	306
438	438
Yawa simi	Javaans
297	297
421	421
298	298
Hawayi simi	Hawaïaans
Rwanda simi	Kinyarwanda
351	351
Indu rimaykuna	Indo-Arische talen
Igbo simi	Igbo (taal)
352	352
Rundi simi	Kirundi
Kikuyu simi	Gikuyu (taal)
355	355
Hatun panda	Reuzenpanda
Yuraq ukumari	IJsbeer
95	95
94	94
Irukisa rimaykuna	Irokese talen
594	594
542	542
448	448
445	445
305	305
234	234
565	565
Chukcha quyllur	Zeelelies
Kannada simi	Kannada
381	381
385	385
Kongo simi	Kongo (taal)
Nilusaharu rimaykuna	Nilo-Saharaanse talen
553	553
307	307
584	584
Mapudungun simi	Mapudungun
346	346
257	257
Maya rimaykuna	Mayatalen
Illap'u	Bliksem
285	285
591	591
Mungul rimaykuna	Mongoolse talen
289	289
Bertrand Russell	Bertrand Russell
Maki	Hand
T'u Fu	Du Fu
563	563
Kanaki	Nieuw-Caledonië (gebiedsdeel)
252	252
Oriya simi	Odia
Edmund Hillary	Edmund Hillary
Nipali simi	Nepalees
Niqir Kungu rimaykuna	Niger-Congotalen
595	595
246	246
Oromo simi	Afaan Oromo
Theodore Roosevelt	Theodore Roosevelt
Anishinapay simi	Ojibwe (taal)
596	596
593	593
357	357
573	573
Uluru	Uluṟu
Simun Pidru	Petrus
Buliwyapi Jesuita Misyunkuna	Jezuïetenmissies van de Chiquitos
Hayupa	Paca (knaagdier)
Chikusluwakya	Tsjecho-Slowakije
Nice	Nice
Usit simi	Ossetisch
Raphi	Blad
Jules Verne	Jules Verne
Niwari simi	Nepalbhasa
Valparaíso	Valparaíso (stad)
Sindi simi	Sindhi (taal)
Aranway pukllaq	Acteur
Sunda simi	Soendanees
Shona simi	Shona (taal)
Marañun sach'a	Kasjoeboom
Samwa simi	Samoaans
Marlon Brando	Marlon Brando
Swasi simi	Swazi (taal)
Phaqcha	Waterval
559	559
599	599
326	326
Tagalu simi	Tagalog
Yitzhak Rabin	Yitzhak Rabin
341	341
Tibetu birmanu rimaykuna	Tibeto-Birmaanse talen
322	322
Tupi rimaykuna	Tupi (taal)
Utu astika rimaykuna	Uto-Azteekse talen
Justin Bieber	Justin Bieber
Turku rimaykuna	Turkse talen
Tonga simi	Tongaans
Champi	Brons
Liyun simi	Leonees
Fargo (North Dakota)	Fargo (North Dakota)
Oaxaka	Oaxaca (staat)
Ural rimaykuna	Oeraalse taalfamilie
386	386
Tahiti simi	Tahitiaans
Tiñiqi	Cilinder (meetkunde)
Tswana simi	Tswana (taal)
374	374
380	380
Tay kaday rimaykuna	Tai-Kadaitalen
Mantikilla	Boter (zuivel)
Luba simi	Luba-Kasai
Dyusmanta yachay	Theologie
Siyu rimaykuna	Sioux-Catawbatalen
Yanomami	Yanomamö
Pablo Neruda	Pablo Neruda
Yasser Arafat	Yasser Arafat
Oxford	Oxford (Verenigd Koninkrijk)
136	136
Wolof simi	Wolof (taal)
Port au Prince	Port-au-Prince
Tibet simi	Tibetaans
Alliwillay	Evangelie
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
Yoruba simi	Yoruba (taal)
370 watakuna	370-379
Ñengatu	Nheengatu
Sesotho simi	Zuid-Sotho
Rotterdam	Rotterdam
Kriti	Kreta
Waqachina	Muziekinstrument
Yuku	Cygnus (geslacht)
T'arta	Zeep (reiniging)
New Orleans (Louisiana)	New Orleans (stad)
Benazir Bhutto	Benazir Bhutto
Shakira	Shakira
Oxford Yachay Suntur	Universiteit van Oxford
Ñan	Weg
Boris Yeltsin	Boris Jeltsin
Ñit'isqa phiruru	Compact disc
Hirohito	Hirohito
Pillwinkumpa	Helikopter
Mutur phirunku	Motorfiets
Hatun mayu khuchi	Nijlpaard
Kuyuq rikch'a waqaychana allwiya	Video
382	382
342	342
373	373
372	372
Ichirō Mizuki	Ichiro Mizuki
Paqariy	Bevalling
Kyōto	Kioto (stad)
Chunkantin Kamachiykuna	Tien geboden
1980 watakuna	1980-1989
Kristiyanu inlisya	Kerk (instituut)
1990 watakuna	1990-1999
Joanne K. Rowling	J.K. Rowling
Hiroshima	Hiroshima (stad)
Albert Camus	Albert Camus
Aqu	Zand
Waysallpu	Rozen
Kingston	Kingston (Jamaica)
Rikch'ayrimana	Bijvoeglijk naamwoord
Misti hawar	Luipaard
Salzburg	Salzburg (stad)
Sinqawaqra	Neushoorns
Suyu rikuchiq	Kompas
Rikch'ana	Geslacht (biologie)
Rudyard Kipling	Rudyard Kipling
Yaqa wat'a	Schiereiland
Friedrich Engels	Friedrich Engels
Sinkiyan Uyq'ur	Sinkiang
Musuq Wata	Nieuwjaar
Santo Domingo llaqta	Santo Domingo (Dominicaanse Republiek)
Tequixquiac	Tequixquiac
Elizabeth Taylor	Elizabeth Taylor
Oklahoma llaqta	Oklahoma City
Papaya	Papaja
375	375
Brisbane	Brisbane
Benjamin Franklin	Benjamin Franklin
Isaac Asimov	Isaac Asimov
Kimsantin llaqta	Trinidad (Bolivia)
Kuwiha	Cobija (plaats)
Tarija	Tarija (stad)
1970 watakuna	1970-1979
2000 watakuna	2000-2009
Copacabana	Copacabana
Orthodoksa Inlisya	Oosters-orthodoxe Kerk
Putusi	Potosí (stad)
Agatha Christie	Agatha Christie
Noemi (takiq)	Noemi
Kaqchikel simi	Kaqchikel (taal)
Wilhelm Conrad Röntgen	Wilhelm Röntgen
Odisya	Odyssee
Chol simi	Ch'ol (taal)
Rirpu	Spiegel (optica)
Ido	Ido (kunsttaal)
Satanas	Satan
Uru Uru	Oruro (stad)
Puma	Poema
44 kñ	44 v.Chr.
387	387
Titiqaqa qucha	Titicacameer
Rikch'aq ayllu	Familie (biologie)
Wintana	Venster (muur)
Madina	Medina (Arabië)
Garifuna simi	Garifuna (taal)
Inga kichwa	Inga (taal)
242 kñ	242 v.Chr.
248 kñ	248 v.Chr.
Mach'ay	Grot
258 kñ	258 v.Chr.
257 kñ	257 v.Chr.
Alsi	Eland
253 kñ	253 v.Chr.
246 kñ	246 v.Chr.
245 kñ	245 v.Chr.
Chapaq	Politie
Q'eqchí simi	Q'eqchi' (taal)
249 kñ	249 v.Chr.
252 kñ	252 v.Chr.
Paul Cézanne	Paul Cézanne
Q'anjob'al simi	Q'anjob'al (taal)
240 kñ	240 v.Chr.
254 kñ	254 v.Chr.
256 kñ	256 v.Chr.
Wastika simi	Huaxteeks
Wichol simi	Huichol (taal)
251 kñ	251 v.Chr.
Hokkaido	Hokkaido (Japan)
250 kñ	250 v.Chr.
244 kñ	244 v.Chr.
243 kñ	243 v.Chr.
255 kñ	255 v.Chr.
Nobel Suñay Qasikaypi	Nobelprijs voor de Vrede
Hatun chullunku	Gletsjer
Uturunku	Jaguar
1930 watakuna	1930-1939
1960 watakuna	1960-1969
1920 watakuna	1920-1929
Rimana huñunakuy	Parlement
Imayay	Materie
Ōsaka	Osaka
247 kñ	247 v.Chr.
Boise (Idaho)	Boise
Cambridge Yachay Suntur	Universiteit van Cambridge
Ruraq atiy	Uitvoerende macht
Baruch Spinoza	Baruch Spinoza
Uhu	Hoest
Yamt'a	Brandhout
259 kñ	259 v.Chr.
Achhi	Niezen
Puñuy	Slaap (rust)
Bawtisay	Doop (sacrament)
Qharqayuy	Astma
Wamp'u	Boot (vaartuig)
Waraniyi simi	Guaraní (taal)
Keres simi	Kerestalen
Aral qucha	Aralmeer
Yarawisqu	Witte mimosa
Sport Club Corinthians Paulista	SC Corinthians Paulista
Interlingua	Interlingua
Pulinisya	Polynesië
İzmir	İzmir
Mercedes-Benz	Mercedes-Benz
Ho Chi Minh	Hồ Chí Minh
Lwiw	Lviv
Sawsi	Wilg
Minneapolis (Minnesota)	Minneapolis
Muwriy simi	More (taal)
Charles Bronson	Charles Bronson
Muhammad Ali	Muhammad Ali
Allpa	Bodem
Igu	Vijgenboom
Tantachisqa	Verzameling (wiskunde)
Qillqaq	Schrijver
Siligo	Siligo
Nihunpi pacha kuyuy (2011)	Zeebeving Sendai 2011
Puerto Montt	Puerto Montt
Lingala simi	Lingala
Sutip rantin	Voornaamwoord
Václav Havel	Václav Havel
Malayalam simi	Malayalam
Hanllalli	Klinker (klank)
Karu kay	Lengte (meetkunde)
Kawsay qillqa	Biografie
1950 watakuna	1950-1959
Salta llaqta	Salta (stad)
Calgary	Calgary
Paqu ukumari	Bruine beer
Musquy	Droom
Mishtika simi	Mixteeks
Kurdi simi	Koerdisch
Lothar Matthäus	Lothar Matthäus
Hatun ukucha	Rattus
Chawpi tuta	Middernacht
Aberdeen	Aberdeen
Porto	Porto (stad)
Katharina II	Catharina II van Rusland
Mawri simi	Maori (taal)
Hak'u	Meel
Qhapaq Liyun	The Lion King (film)
K'iché simi	K'iche' (taal)
Iyun	Ion (deeltje)
Waranqawata	Millennium
Francis Drake	Francis Drake
Ruranakuy	Chemische reactie
P'ukuru	Oven (apparaat)
1940 watakuna	1940-1949
1900 watakuna	1900-1909
1910 watakuna	1910-1919
Den Haag	Den Haag
Rikch'aq ñiqi	Orde (biologie)
Gurila	Gorilla's
Q'itayay	Prostitutie
Ben Tre	Bến Tre (stad)
Mitan kamaypaq suti	Binominale nomenclatuur
Rikch'a kapchiy	Beeldende kunst
Yuguslawya	Joegoslavië
Mamut	Mammoeten
Rikch'aq suyu	Rijk (biologie)
Novial simi	Novial
Aung San Suu Kyi	Aung San Suu Kyi
Huwanpa qillqasqan	Evangelie volgens Johannes
Punku	Deur
Taraska simi	Purépecha (taal)
Tseltal simi	Tzeltal (taal)
Tawak'uchu	Vierhoek
Takichaq	Componist
Sillu	Nagel (anatomie)
Tlapanika simi	Tlapaneeks
Mama simi	Moedertaal
Urqu wichay	Alpinisme
Achiksamaytu	Ozon (stof)
Tsutuhil simi	Tz'utujil (taal)
Waraw simi	Warau (taal)
Salvador (Bahia)	Salvador (stad)
Lliqti unquy	Lepra
Chaku	Jacht (activiteit)
Toshiro Mifune	Toshiro Mifune
Uya	Gelaat
Thomas Mann	Thomas Mann
Tallahassee (Florida)	Tallahassee
Kachariy	Onafhankelijkheid (staatkunde)
José Saramago	José Saramago
Alexander Fleming	Alexander Fleming
Bismarck (North Dakota)	Bismarck (North Dakota)
Takarpucha	Draadnagel
Uliw	Olijf
Kimsantin Dyus	Drie-eenheid
Awklanda	Auckland
Alajuela	Alajuela (stad)
Siwk siq'i	Lijn (meetkunde)
331	331
365	365
Iñuku huk'i	Atoomkern
Palta	Avocado
379	379
Pillunya	Golf (natuurkunde)
Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva
Puka yawar kawsaykuq	Rode bloedcel
Robert Koch	Robert Koch
Giza hatun chuntu	Piramide van Cheops
Raqta	Diameter
Yachachiq	Onderwijzer
Qillqay	Schrijven
Juan Pawlu I	Paus Johannes Paulus I
Piluta Hayt'ay Pachantin Kupa 2006	Wereldkampioenschap voetbal 2006
Ch'uya Ispiritu	Heilige Geest
Lublin	Lublin
John Michael Talbot	John Michael Talbot
Arara	Arara
Inchik	Pinda
Francis Bacon	Francis Bacon (wetenschapper, 1561)
Pachak	100 (getal)
Qunqur	Knie (anatomie)
Pacha phuyu	Mist
Qhawana q'ispillu	Bril
Ninachaq	Lucifer (voorwerp)
Rikch'aq sinri	Klasse (biologie)
Uwas misk'i	Glucose
Ashkamanya (pacha tupuy)	Veelhoek
Chikchi	Hagel (neerslag)
David Ben-Gurion	David Ben-Gurion
Luciano Pavarotti	Luciano Pavarotti
43 kñ	43 v.Chr.
Qhatu	Markt (economie)
Campora San Giovanni	Campora San Giovanni
Francisco Solano López	Francisco Solano López
Llipipipiq q'aytu	Zijde (textiel)
Paul Gauguin	Paul Gauguin
Awqaq suyu	Landmacht (algemeen)
Runayupay	Demografie
Besançon	Besançon
Charlottep Llikan (kuyuchisqa siq'isqa)	Charlotte's Web (1973)
Milwaukee (Wisconsin)	Milwaukee
Altay rimaykuna	Altaïsche talen
Laqu	Algen
Nobel Suñay Simi Kapchiypi	Nobelprijs voor de Literatuur
Chaski unanchana	Postzegel
Kumar	Zoete aardappel
Sapporo	Sapporo
Gregor Mendel	Gregor Mendel
Akihito	Akihito
63 kñ	63 v.Chr.
St. Louis (Missouri)	Saint Louis (Missouri)
Kunkawaki	Medeklinker
Paraíba suyu	Paraíba
Yawatisuyu	Galapagoseilanden
Nobel Suñay Pachaykamaypi	Nobelprijs voor de Natuurkunde
Leonardo DiCaprio	Leonardo DiCaprio
Sach'a kamay	Bosbouw
Daniel Radcliffe	Daniel Radcliffe
31 kñ	31 v.Chr.
Helen Keller	Helen Keller
Nagasaki	Nagasaki (stad)
Yokohama	Yokohama (stad)
Rimana yachay	Morfologie (taalkunde)
1840 watakuna	1840-1849
Alexandre Dumas	Alexandre Dumas père
Rikch'aq putu	Stam (biologie)
Angers	Angers
William Faulkner	William Faulkner
Columbia (South Carolina)	Columbia (South Carolina)
Romano Prodi	Romano Prodi
Turku	Turku
Hunu	Miljoen
Santa Fe (Musuq Mishiku)	Santa Fe (New Mexico)
São Paulo Futebol Clube	São Paulo FC
Diwanaqri siq'i llumpa	Devanagari
1880 watakuna	1880-1889
Helena (Montana)	Helena (Montana)
Bertolt Brecht	Bertolt Brecht
Bío-Bío Yachay Suntur	Universiteit van de Bio-Bio
Ruhollah Khomeini	Ruhollah Khomeini
Heavy metal	Heavy metal
Ruphariy	Koorts
4 kñ	4 v.Chr.
Teide	El Teide
1890 watakuna	1890-1899
100 kñ	100 v.Chr.
Minas Gerais suyu	Minas Gerais
Leeds	Leeds
8 kñ	8 v.Chr.
Ukucha	Mus (geslacht)
P'ulin	Inhoud (volume)
Killmu	Oranje (kleur)
Chanpi	Bijl
Sochi	Sotsji
Ronaldinho	Ronaldinho
1830 watakuna	1830-1839
Qharastaq	Tractor
Pará suyu	Pará
Gamal Abdel Nasser	Gamal Abdel Nasser
Ruwana	Gereedschap
Ñit'iy	Druk (grootheid)
Michael Phelps	Michael Phelps
1800 watakuna	1800-1809
Antoine Lavoisier	Antoine Lavoisier
Ayamarka	Begraafplaats
Hampikamayuq	Arts
Nicolas Appert	Nicolas Appert (uitvinder)
14 kñ	14 v.Chr.
27 kñ	27 v.Chr.
Makiduniya	Macedonia
Des Moines (Iowa)	Des Moines (Iowa)
Pharu	Vuurtoren
Qispichiqkuna (kuyuchisqa siq'isqa)	De Reddertjes
Aqunqhawaq	Aconcagua
19 kñ	19 v.Chr.
Mario Vargas Llosa	Mario Vargas Llosa
Qhichwa	Dal (aardrijkskunde)
3 kñ	3 v.Chr.
Runa yupay	Volkstelling
1860 watakuna	1860-1869
