非洲	Afrika
Pô-lò-tit-hói	Oostzee
Ngâ-chhṳ	Tand
Khîn	Waterstof (element)
Hoi (氦)	Helium
Angela Merkel	Angela Merkel
Lî	Lithium (element)
Phì	Beryllium
Si	Boek (document)
Ngit	Dag
Ngièn	Jaar
Sṳ-ki	Eeuw
Lò-tsṳ (Pô-làn)	Łódź (stad)
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Boor (element)
Thàn	Koolstof
Tham	Stikstof (element)
Yòng	Zuurstof (element)
Hàng-sên	Planeet
Yîm-ngo̍k	Muziek
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moskou
Fuk	Fluor (element)
Yi-thai-li-ngî	Italiaans (taal)
Nái	Neon (element)
Sṳn Pí-tet-páu	Sint-Petersburg
Na̍p	Natrium
北	Noord (windstreek)
Mî	Magnesium
Lî (鋁)	Aluminium
Néu Sî-làn	Nieuw-Zeeland
南	Zuid
Yin-thu	India
Si̍t	Silicium
Fap	Francium
Lìn	Fosfor
Thiet	IJzer (element)
Tûng-kâ	Tonga (land)
西	West
Liù-vòng	Zwavel
東	Oost (windstreek)
Liu̍k	Chloor (element)
Pâ-pu-â Néu-kí-nui-â	Papoea-Nieuw-Guinea
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argon
Kap	Kalium
Koi	Calcium
Yèn	Lood (element)
Mùng-kú-koet	Mongolië
Khong (鈧)	Scandium
Thai	Titanium
Genghis Khan	Dzjengis Khan
Fàm	Vanadium
Mien-yîn	Maine
Kok	Chroom (element)
Mâ	Paard (dier)
Thûng-vu̍t	Dierenrijk
Sû-li-nàm	Suriname
Màng	Mangaan
Pâ-lâ-kûi	Paraguay
Koi-â-nâ	Guyana
Ngi-su̍t	Kunst
Lòi	Renium
Kô-lùn-pí-â	Colombia
Kû	Kobalt
Vû	Wolfraam
Ngiap (鎳)	Nikkel
Fu̍t-kau	Boeddhisme
Pô-li-vì-â	Bolivia
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidad en Tobago
Chhṳ̍t-vu̍t	Planten
Sîn	Zink (element)
Néu Hàn-pu-ha	New Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Jamaica
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Drenthe
Overijssel-sén	Overijssel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Gelderland
Pâ-hâ-mâ	Bahama's
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Kip (vogel)
Ha-vî-yî	Hawaï
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominica
Tô-mí-nì-kâ Khiung-fò-koet	Dominicaanse Republiek
Kâ-chû (Thung-vu̍t)	Varken (tam)
Hói-thi	Haïti
Sat-ngì-ngá-tô	El Salvador
Yî-lóng	Iran
Yî-là-khiet	Irak
Â-lâ-sṳ̂-kâ	Alaska
Kô-sṳ̂-tha̍t Lì-kâ	Costa Rica
Yî-set-lie̍t	Israël
Pâ-nâ-mâ	Panama (land)
Ya̍p-mùn	Jemen
Phiang-thu̍k	Virus (biologie)
Pô-làn-ngî	Pools
Yok-tan	Jordanië
Nì-kâ-lâ-kûa	Nicaragua
Fu-lò-lî-tha̍t	Florida (staat)
Kit-ngí-kit-sṳ̂-thán	Kirgizië
Â-li-sông-ná	Arizona (staat)
Khô-vî-thi̍t	Koeweit
Liàu-koet	Laos
Lì-pâ-nun	Libanon
O-le̍t-kông	Oregon
Gi-tuk-gaau zung geh sin	God (christendom)
Mâ-ngì-thoi-fû	Maldiven
Yù-thâ	Utah
Mâ-lòi-sî-â	Maleisië
Mién-thien	Myanmar
Nì-pok	Nepal
Â-man	Oman
Pâ-kî-sṳ̂-thán	Pakistan
Khà-tha̍t	Qatar
Mióng-khiù	Tennis
Sâ-vû-thi Â-lâ-pak	Saoedi-Arabië
Sṳ̂-lî-làn-khà	Sri Lanka
Si-li-â	Syrië
Kâ	Gallium
Thap-kit-khiet-sṳ̂-thán	Tadzjikistan
中華民國	Taiwan
YouTube	YouTube
Châ	Germanium
Thai-koet	Thailand
Sṳ̂n	Arseen
Thú-khû-man-sṳ̂-thán	Turkmenistan
Abakan	Abakan (stad)
Sî	Seleen
Yî	Iridium (element)
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	Verenigde Arabische Emiraten
Tshiù (溴)	Broom (element)
Pha̍k (鉑)	Platina
Ye̍t-nàm	Vietnam
Thai-hòn Mìn-koet	Zuid-Korea
Khiet	Krypton (element)
Â-fu-hon	Afghanistan
J. R. R. Tolkien	J.R.R. Tolkien
Lù	Rubidium
Kîm	Goud
Men-kâ-lâ-koet	Bangladesh
Ufa	Oefa
Ôn-kô-lâ	Angola
Vùn-lòi	Brunei
Kúng	Kwik
Fî-li̍t-pîn	Filipijnen
Thò	Thallium
Ngie-sat-khiet Ngiù-tun	Isaac Newton
Albert Einstein	Albert Einstein
Sṳ̂	Strontium
Yet	Yttrium
Pit	Bismut
Vòng-set	Geel (kleur)
Tsan-pí-â	Zambia
Sîn-pâ-pu-vî	Zimbabwe
北京	Peking
Tuva Khiung-fò-koet	Toeva
Pok-tshṳ-ngá-na̍p	Botswana
Pho (釙)	Polonium
Bayern	Beieren
Baden-Württemberg	Baden-Württemberg
Ngo (砈)	Astaat
Lòi-sò-thok	Lesotho
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagaskar
Mâ-là-vî	Malawi
Stuttgart	Stuttgart
Màu-li-thap-nì-â	Mauritanië
Pô-làn-ngìn	Polen (volk)
Mo̍k-sông-pí-khiet	Mozambique
Na̍p-mí-pí-â	Namibië
Nai-khi̍p-li-â	Nigeria
Ko	Zirkonium
Nì	Niobium
Yû-li-vû-sṳ̂ Khái-sat	Julius Caesar
Sṳ̂-vî-sṳ-làn	Swaziland
Muk	Molybdeen
Thap	Technetium
Hamburg	Hamburg
Thoi-chhia	Stofwisseling
Miên-yi̍t Hì-thúng	Immuunsysteem
Lièn-ha̍p-koet	Verenigde Naties
Sîm-chhong	Hart
Thèu-nó	Hersenen
Phì-fû	Huid
Ló	Rhodium
Làm-set	Blauw (kleur)
Pâ	Palladium (element)
Ngiùn	Zilver
Kak	Cadmium
Yîn	Indium
Siak	Tin (element)
Yu	Uranium
Thi (銻)	Antimoon
Ti	Telluur
Pu	Plutonium
Tièn	Jodium (element)
Nai	Neptunium
Set	Cesium
Phù	Protactinium
Pi	Barium
Thú	Thorium
Kap (鉿)	Hafnium
Than (鉭)	Tantaal
Luì	Radium
Tûng	Radon (element)
Alsace	Elzas
Auvergne	Auvergne
Ôn-tet-là-pâng	Andhra Pradesh
Me̍t-hiet-kîn	Michigan
Burgundy	Bourgondië (regio)
Aquitaine	Aquitanië
Schleswig-Holstein	Sleeswijk-Holstein
Hâ Saxony	Nedersaksen
Pet Rhine-Westphalia	Noordrijn-Westfalen
Saxony	Saksen (deelstaat)
Yî-li-nò	Illinois (staat)
Thuringia	Thüringen (deelstaat)
Saxony-Anhalt	Saksen-Anhalt
Pet Tha̍t-khô-thâ	North Dakota
Brandenburg	Brandenburg (deelstaat)
Bremen-chû	Vrije Hanzestad Bremen
Nàm Tha̍t-khô-thâ	South Dakota
Mùng-thai-nâ	Montana (staat)
Fài-ngò-mìn	Wyoming
Yâ-lu-sat-lâng	Jeruzalem
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Washington (staat)
Lù (鑪)	Rutherfordium
Nui-fà-tha̍t	Nevada (staat)
Hàn (𨧀)	Dubnium
Hí (𨭎)	Seaborgium
Yin-thu-yòng	Indische Oceaan
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Caraïbische Zee
Pô (𨨏)	Bohrium
Het (𨭆)	Hassium
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnerium
Khô-lò-là-tô	Colorado (staat)
Tha̍t	Darmstadtium
Siau-pâng	Frédéric Chopin
Lùn	Röntgenium
Kô (鎶)	Copernicium
分類:Chú-yeu fûn-lui	Categorie:Alles
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Winter
Sî-pân-ngà-ngî	Spaans
Fî-là-thiet-fî	Philadelphia (Pennsylvania)
Tî-tû	Spinnen (dieren)
Kîm-tshièn	Geld
Vì-kit-nì-â	Virginia (staat)
Sî Vì-kit-nì-â	West Virginia
Tshiâng-tséu	Capsicum annuum
Néu-yok-chû	New York (staat)
Sṳ (鈰)	Cerium
Phú	Praseodymium
Lò-tet-tó	Rhode Island (staat)
Ńg	Neodymium
Khûn-chhùng	Insecten
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Europium
Ngò-hài-ngò	Ohio (staat)
Vì-kit-ngì	Vergilius
Machiavelli	Niccolò Machiavelli
Pîn-sé-fap-nì-â	Pennsylvania
Uetersen	Uetersen
O-kú-sṳ̂-tû	Imperator Caesar Augustus
Néu Chhe̍t-sî-chû	New Jersey
Fûn-làn-ngî	Fins
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Vespasianus
Thù-là-chṳ̂n	Trajanus
Hâ-tet-liòng	Hadrianus
Khièu-tshṳ-â	Georgia (staat)
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marcus Aurelius
Zagreb	Zagreb
Tet-khiet-sat-sṳ̂	Texas (staat)
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	North Carolina
Nàm Khà-lò-lòi-na̍p	South Carolina
Loire-sén	Loire (rivier)
Pâ-set-lò-nâ	Barcelona (Spanje)
Vòng-lî	Ananas
Me̍t-sî-sî-pí	Mississippi (staat)
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	New Mexico
Mìn-nì-sû-tha̍t	Minnesota
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa (staat)
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas (staat)
Yin-thi-ngî	Hindi
Me̍t-sû-lî	Missouri (staat)
Lu-yi-sṳ̂-ôn-ná	Louisiana (staat)
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas (staat)
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	Noordzee
Mo̍k-sṳ̂-khô-chû	Oblast Moskou
Kiel	Kiel (Duitsland)
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover (stad)
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Mu-nì-het	München
Erfurt	Erfurt
Dresden	Dresden
Kaliningrad-chû	Oblast Kaliningrad
Murmansk-chû	Oblast Moermansk
Kak-than-sṳ̂-khiet	Gdańsk
Fap-làn-khiet-fuk	Frankfurt am Main
Fut-lò-tshṳ-ngá-fû	Wrocław
Làn	Lanthaan
Ki (鉕)	Promethium
Sân	Samarium
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Atjeh
Nga̍t (釓)	Gadolinium
Thi̍t (鋱)	Terbium
Tit (鏑)	Dysprosium
Sṳn-kîn	Bijbel (christendom)
Fó	Holmium
Ngí (鉺)	Erbium
Tiû	Thulium
Yi	Ytterbium
Liu	Lutetium
Hò-nui-sṳ	Hanoi
Chṳ̂n Yâ-sû Kau-fi	Ware Jezuskerk
Yîn-ngî	Engels
Màn-kuk	Bangkok
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Banka-Billiton
Thòi-pet-sṳ	Taipei (stad)
Mî (鋂)	Americium
Arkhangelsk-chû	Oblast Archangelsk
Khiu̍k	Curium
Thùng-hói-sṳ	Đồng Hới
Concepción	Concepción (Chili)
Pet (鉳)	Berkelium
