ܐܦܪܝܩܐ	Afrika
ܝܦܢ	Japan
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	Zuid-Amerika
ܢܘܪܒܝܓ	Noorwegen
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	Ierland (land)
ܡܓܪ	Hongarije
ܐܣܦܢܝܐ	Spanje
ܐܘܚܕܢܐ ܡܚܝܕܐ	Verenigde Staten
ܒܠܓܝܩܐ	België
ܠܘܟܣܡܒܘܪܓ	Luxemburg (land)
ܬܒܝܠ	Heelal
ܐܪܥܐ	Aarde (planeet)
ܡܘܬܐ	Dood
ܒܪ ܐܢܫܐ	Mens
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	George Washington
ܦܝܢܠܢܕ	Finland
ܣܘܝܕ	Zweden
ܕܐܢܡܐܪܩ	Denemarken
ܦܘܠܢܕ	Polen
ܠܬܘܢܝܐ	Litouwen
ܐܝܛܠܝܐ	Italië
ܣܘܝܣܪܐ	Zwitserland
ܢܡܣܐ	Oostenrijk
ܝܘܢ	Griekenland
ܛܘܪܩܝܐ	Turkije
ܦܘܪܛܘܓܠ	Portugal
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	Europa (werelddeel)
ܐܣܝܐ (ܝܒܫܬܐ)	Azië
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	Noord-Amerika
ܐܢܛܐܪܩܛܝܩܐ	Antarctica
ܘܝܩܝܦܕܝܐ	Wikipedia
ܗܘܠܢܕܐ	Nederland
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	New York City
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	Washington D.C.
ܒܪܠܝܢ	Berlijn
ܚܫܘܒܐ (ܡܐܟܢܐ)	Computer
ܒܪܢ	Bern (stad)
ܬܣܝܪܝܟ	Zürich (stad)
ܐܢܛܪܢܛ	Internet
ܒܪܐܩ ܐܘܒܐܡܐ	Barack Obama
ܠܘܢܕܘܢ	Londen
ܐܠܟܣܢܕܪܝܐ	Alexandrië
ܚܙܘܪܐ	Appel (plant)
ܦܐܪܝܣ	Parijs
ܡܟܣܝܩܘ	Mexico (land)
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	Atlantische Oceaan
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	Grote Oceaan
ܒܘܣܛܘܢ	Boston
ܬܪܝܢܒܫܒܐ	Maandag
ܟܢܘܢ ܒ	Januari
ܫܒܛ	Februari
ܐܕܪ	Maart
ܟܘܫ	Ethiopië
ܢܝܣܢ	April
ܐܝܪ	Mei
ܚܙܝܪܢ	Juni
ܬܡܘܙ	Juli
ܐܒ	Augustus (maand)
ܐܝܠܘܠ	September
ܬܫܪܝܢ ܐ	Oktober
ܬܫܪܝܢ ܒ	November
ܟܢܘܢ ܐ	December
ܬܠܬܒܫܒܐ	Dinsdag
ܐܪܒܥܒܫܒܐ	Woensdag
ܚܡܫܒܫܒܐ	Donderdag
ܥܪܘܒܬܐ	Vrijdag
ܫܒܬܐ (ܙܒܢܐ)	Zaterdag
ܚܕܒܫܒܐ	Zondag
ܐܪܝܐ	Leeuw (dier)
ܦܪܢܣܐ	Frankrijk
ܟܠܒܐ	Hond
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	Verenigd Koninkrijk
ܩܛܐ	Kat (dier)
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	Volksrepubliek China
ܠܫܢܐ ܦܪܢܣܝܐ	Frans
ܒܪܐܙܝܠ	Brazilië
ܪܘܣܝܐ	Rusland
ܝܡܐ	Zee
ܝܡܐ ܐܘܟܡܐ	Zwarte Zee
Π	Pi (letter)
ܐܠܒܐܡܐ	Alabama
