ܐܦܪܝܩܐ	Afrika
ܣܐܘ ܦܐܘܠܘ	São Paulo (stad)
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	Quebec (provincie)
ܓܪܡܢ	Duitsland
ܒܠܐܪܘܣ	Wit-Rusland
ܠܫܢܐ ܓܪܡܢܝܐ	Duits
ܐܠܗܐ	God (monotheïsme)
ܐܣܛܘܢܝܐ	Estland
ܛܝܣܬܐ	Vliegtuig
ܩܪܒܐ	Oorlog
1 (ܡܢܝܢܐ)	1 (getal)
2 (ܡܢܝܢܐ)	2 (getal)
3 (ܡܢܝܢܐ)	3 (getal)
4 (ܡܢܝܢܐ)	4 (getal)
5 (ܡܢܝܢܐ)	5 (getal)
ܠܐܛܒܝܐ	Letland
ܐܘܩܪܐܝܢܐ	Oekraïne
ܬܫܝܟ	Tsjechië
ܣܠܘܒܩܝܐ	Slowakije
ܣܠܘܒܢܝܐ	Slovenië
ܡܘܠܕܘܒܐ	Moldavië (land)
ܪܘܡܢܝܐ	Roemenië
ܒܘܠܓܐܪܝܐ	Bulgarije
ܪܗܘܡܐ (ܡܕܝܢܬܐ)	Rome (stad)
ܩܘܛܢܝܘܬܐ ܕܡܩܕܘܢܝܐ	Macedonië (land)
ܐܠܒܢܝܐ	Albanië
ܩܪܘܐܛܝܐ	Kroatië
ܒܘܣܢܐ ܘܗܪܬܣܓܘܒܝܢܐ	Bosnië en Herzegovina
ܐܙܪܒܝܓܐܢ	Azerbeidzjan
ܐܢܕܘܪܐ	Andorra
ܩܘܦܪܘܣ	Cyprus
ܓܘܪܓܝܐ (ܐܬܪܐ)	Georgië
ܩܙܩܣܛܐܢ	Kazachstan
ܡܝܠܛܐ	Malta (land)
ܡܘܢܐܩܘ	Monaco
ܛܘܪܐ ܐܘܟܡܐ	Montenegro
ܡܕܝܢܬܐ ܕܘܛܝܩܢ	Vaticaanstad
ܣܢ ܡܪܝܢܘ	San Marino
ܒܪܘܟܣܠ	Brussels Hoofdstedelijk Gewest
ܠܘܕܒܝܓ ܒܐܢ ܒܝܛܗܘܒܢ	Ludwig van Beethoven
ܠܫܢܐ ܛܘܪܩܝܐ	Turks
ܓܙܐܐܪ	Algerije
ܐܘܙܒܩܣܛܐܢ	Oezbekistan
ܘܐܪܣܘ	Warschau
ܚܡܪܐ (ܫܬܝܐ)	Wijn
ܡܝܐ	Water
ܦܪܣ ܚܙܘܐ	Televisie
ܬܫܝܠܝ	Chili
ܐܠ ܓܪܝܩܘ	El Greco
ܝܫܘܥ	Jezus (traditioneel-christelijk)
ܠܫܢܐ (ܡܡܠܠܐ)	Taal
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	Dictatuur
ܡܡܠܠܘܬ ܟܘܟܒܐ	Astronomie
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	Maria (moeder van Jezus)
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	Latijn
ܒܚܪܝܢ	Bahrein
ܐܪܡܢܝܐ	Armenië
ܣܪܒܝܐ	Servië
ܣܗܪܐ	Maan
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Istanboel
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Australië (land)
ܦܝܣܝܟ	Natuurkunde
ܩܘܪܐܢ	Koran
ܐܣܠܐܡ	Islam
ܟܡܬܪܐ	Peer (plant)
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Vrede
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	Europese Unie
ܐܢܬܬܐ	Vrouw
ܛܝܙܐ	Anus (anatomie)
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Oksel
ܗܒܒܐ	Bloem (plant)
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomie
ܡܕܝܢܬܐ	Stad
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoleon Bonaparte
ܟܘܟܒܐ	Ster (hemellichaam)
ܫܡܫܐ	Zon
ܩܪܝܬܐ	Dorp
ܝܡܐ ܕܡܕܢܚܐ	Oostzee
ܫܢܐ	Tand
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Boek (document)
ܝܘܡܐ	Dag
ܠܠܝܐ	Nacht
ܫܢܬܐ (ܙܒܢܐ)	Jaar
ܕܪܐ	Eeuw
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lissabon
ܦܠܝܛܐ	Planeet
ܙܡܪܘܬܐ	Muziek
ܡܘܣܩܒܐ	Moskou
ܠܫܢܐ ܐܝܛܠܝܐ	Italiaans (taal)
ܬܫܐܕ	Tsjaad
ܬܝܡܢܐ	Noord (windstreek)
ܢܝܘ ܙܝܠܢܕ	Nieuw-Zeeland
ܓܪܒܝܐ	Zuid
ܗܢܕܘ	India
ܦܪܙܠܐ	IJzer (element)
ܡܥܪܒܐ	West
ܡܕܢܚܐ	Oost (windstreek)
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Schaken
ܡܝܢ	Maine
ܣܘܣܝܐ	Paard (dier)
ܐܡܣܛܪܕܐܡ	Amsterdam
ܙܝܢܐ	Gevechtswapen
ܚܝܘܬܐ	Dierenrijk
ܩܘܠܘܡܒܝܐ	Colombia
ܢܝܘ ܗܐܡܦܫܪ	New Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Utrecht (provincie)
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Iran
ܥܝܪܐܩ	Irak
ܐܠܐܣܟܐ	Alaska
ܐܝܣܪܐܝܠ	Israël
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht (stad)
ܝܡܢ	Jemen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Pools
ܝܘܪܕܢܢ	Jordanië
ܩܝܪܓܝܙܣܛܐܢ	Kirgizië
ܐܪܝܙܘܢܐ	Arizona (staat)
ܟܘܘܝܬ (ܐܬܪܐ)	Koeweit
ܠܒܢܢ	Libanon
ܐܘܪܝܓܘܢ	Oregon
ܐܡܪܝܩܐ	Amerika (continent)
ܝܘܬܐ	Utah
ܥܘܡܐܢ	Oman
ܦܐܩܣܛܐܢ	Pakistan
ܩܛܪ	Qatar
ܣܥܘܕܝܐ	Saoedi-Arabië
ܝܘܣܦ ܣܛܐܠܝܢ	Jozef Stalin
ܣܘܪܝܐ	Syrië
ܛܐܓܝܩܣܛܐܢ	Tadzjikistan
ܦܪܣ ܩܠܐ	Radio
ܛܘܪܩܡܢܣܛܐܢ	Turkmenistan
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	Verenigde Arabische Emiraten
ܐܦܓܐܢܣܛܐܢ	Afghanistan
ܕܗܒܐ	Goud
ܡܠܝ	Mali
ܦܝܠܝܦܝܢܝܐ	Filipijnen
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	Centraal-Afrikaanse Republiek
ܐܝܣܚܩ ܢܝܘܛܢ	Isaac Newton
ܫܥܘܬܐ (ܓܘܢܐ)	Geel (kleur)
ܬܘܢܣ (ܐܬܪܐ)	Tunesië
ܬܝܡܢܐ ܕܣܘܕܐܢ	Zuid-Soedan
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	Congo-Brazzaville
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	Congo-Kinshasa
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	Paus Johannes Paulus II
ܛܒܝܠܝܣܝ	Tbilisi
ܩܐܡܪܘܢ	Kameroen
ܠܘܒܐ	Libië
ܡܘܪܝܛܢܝܐ	Mauritanië
ܡܓܪܒ	Marokko
ܢܝܓܪ	Niger (land)
ܣܘܕܐܢ	Soedan
ܩܫܬܐ ܕܡܪܢ	Regenboog (optica)
ܗܐܡܒܘܪܓ	Hamburg
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	Ontariomeer
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	Bovenmeer
ܓܐܘܓܪܦܝܐ	Aardrijkskunde
ܠܒܐ	Hart
ܡܘܚܐ	Hersenen
ܓܠܕܐ	Huid
ܓܘܢܐ	Kleur
ܦܪܐܓ	Praag
ܙܪܩܐ	Blauw (kleur)
ܟܣܦܐ (ܣܐܡܐ)	Zilver
ܡܫܝܓܢ	Michigan
ܝܡܬܐ ܕܡܝܫܝܓܢ	Michiganmeer
ܐܠܝܢܘܝ	Illinois (staat)
ܢܘܪܬ ܕܐܟܘܬܐ	North Dakota
ܣܐܘܬ ܕܐܟܘܬܐ	South Dakota
ܡܘܢܬܐܢܐ	Montana (staat)
ܘܐܝܘܡܝܢܓ	Wyoming
ܐܘܪܫܠܡ	Jeruzalem
ܐܝܕܐܗܘ	Idaho
ܢܝܒܐܕܐ	Nevada (staat)
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	Indische Oceaan
ܟܘܠܘܪܐܕܘ	Colorado (staat)
ܫܝܩܓܘ	Chicago
ܣܬܘܐ	Winter
ܬܕܐܐ	Lente
ܩܝܛܐ	Zomer
ܬܫܪܝܬܐ	Herfst
ܨܕܐܡ ܚܘܣܝܢ	Saddam Hoessein
ܠܫܢܐ ܐܣܦܢܝܐ	Spaans
ܓܘܓܝ	Spinnen (dieren)
ܐܒܐ (ܦܐܪܐ)	Vrucht (plant)
ܒܪܓܝܢܝܐ	Virginia (staat)
ܝܡܬܐ ܕܝܘܪܘܢ	Huronmeer
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	New York (staat)
ܪܘܕ ܐܝܠܐܢܕ	Rhode Island (staat)
ܪܚܫܐ	Insecten
ܡܐܪܝܠܐܢܕ	Maryland
ܕܝܠܐܘܝܪ	Delaware
ܐܘܗܐܝܘ	Ohio (staat)
ܦܢܣܝܠܒܐܢܝܐ	Pennsylvania
ܐܝܛܙܢ	Uetersen
ܐܓܘܣܛܘܣ ܩܣܪ	Imperator Caesar Augustus
ܢܝܘ ܓܝܪܣܝ	New Jersey
ܐܢܕܝܐܢܐ	Indiana
ܪܕܝܬܐ	Auto
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Georgia (staat)
ܣܩܠܝܐ	Sicilië
ܣܢ (ܢܗܪܐ)	Seine
ܛܘܩܝܘ	Tokio
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	Ferdinand Magellaan
ܢܝܘ ܡܝܟܣܝܟܘ	New Mexico
ܐܬܢܘܣ	Athene (stad)
ܡܢܝܣܘܬܐ	Minnesota
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	Bagdad
ܘܝܣܟܘܢܣܢ	Wisconsin
ܐܝܐܘܐ	Iowa (staat)
ܢܝܒܪܐܣܟܐ	Nebraska
ܟܐܢܣܐܣ	Kansas (staat)
ܡܝܙܘܪܝ	Missouri (staat)
ܐܪܟܢܣܐܣ	Arkansas (staat)
ܠܫܢܐ ܕܐܘܪܕܘ	Urdu
ܐܘܟܠܐܗܘܡܐ	Oklahoma
ܝܡܐ ܕܓܪܒܝܐ	Noordzee
ܒܝܝܢܐ	Wenen
ܩܘܦܢܗܐܓܢ	Kopenhagen
ܣܛܘܩܗܘܠܡ	Stockholm
ܗܠܣܢܩܝ	Helsinki
ܕܒܠܢ	Dublin
ܒܪܛܝܣܠܐܒܐ	Bratislava
ܟܬܒܐ ܩܕܝܫܐ	Bijbel (christendom)
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	Ware Jezuskerk
ܠܫܢܐ ܐܢܓܠܝܐ	Engels
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	Concepción (Chili)
ܐܘܢܛܐܪܝܘ	Ontario
ܡܐܢܝܛܘܒܐ	Manitoba
ܐܠܒܪܛܐ	Alberta
ܢܘܒܐ ܣܩܘܛܝܐ	Nova Scotia
ܩܘܢܣܩܘܒܘܠܐ	Końskowola
ܢܝܘ ܒܪܘܢܙܘܝܩ	New Brunswick
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	Brits-Columbia
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	Prins Edwardeiland (Canada)
ܣܐܣܩܐܬܫܘܐܢ	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	Newfoundland en Labrador
2008	2008
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	Northwest Territories
ܝܘܩܘܢ	Yukon (territorium)
2005	2005
2006	2006
ܢܘܢܐܒܘܛ	Nunavut
2007	2007
ܡܐܟܘܠܬܐ	Voedsel
ܚܘܝܐ	Slangen
ܩܘܪܘܦ	Kurów (powiat Puławski)
ܟܝܡܝܐ	Scheikunde
1968	1968
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	Holocaust
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	Madrid (stad)
ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Bestuurlijke indeling van Canada
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	Santiago (Chili)
ܚܐܪܘܬܐ	Vrijheid (filosofie)
ܣܝܕܢܝ	Sydney
ܝܪܘܩܐ	Groen (kleur)
ܡܠܒܘܪܢ	Melbourne
ܣܘܡܩܐ	Rood (kleur)
ܢܘܪܐ (ܕܠܩܐ)	Vuur
ܢܝܠܘܣ	Nijl
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	Algiers
ܬܘܢܣ (ܡܕܝܢܬܐ)	Tunis
ܛܗܪܐܢ	Teheran
ܐܢܩܪܐ	Ankara
ܢܝܐܡܝ	Niamey
ܒܡܩܘ	Bamako
ܕܪܡܣܘܩ	Damascus
ܥܡܐܢ	Amman (stad)
ܒܝܪܘܬ	Beiroet
ܒܝܬ ܨܘܒܐ	Universiteit
ܒܝܬܐ (ܒܢܝܢܐ)	Huis (woning)
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	Australië (continent)
ܢܗܪܐ	Rivier
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	Kaap de Goede Hoop
ܫܘܚܡܠܐ	Investering
ܩܘܪܝܛܝܒܐ	Curitiba (gemeente)
ܥܒܐ	Bos (vegetatie)
ܩܘܢܦܘܫܝܘܣ	Confucius
ܩܢܐ	Vogelnest
ܐܘܪܘ	Euro
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	Middellandse Zee
ܓܘܪܓܝܐ	Georgia
ܡܫܝܚܝܘܬܐ	Christendom
ܩܠܒܐ:ܐܘܝܐ	Sjabloon:Voor
ܪܘܙܐ	Rijst
ܝܒܫܬܐ	Continent
ܛܝܪܐ	Vogels
ܐܪܫܟܝܬܐ	Hoofdstad
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	Portugees
ܝܪܚܐ	Maand
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	Mustafa Kemal Atatürk
ܐܠܡܐܙܢ	Almazán (gemeente)
ܠܫܢܐ ܝܦܢܝܐ	Japans
ܦܐܬܐ ܪܝܫܝܬܐ	Hoofdpagina
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	Francisco Goya
ܝܡܐ ܐܚܪܝܐ	Kaspische Zee
ܝܡܬܐ ܕܐܝܪܝ	Eriemeer
ܣܠܒܐܕܘܪ ܕܐܠܝ	Salvador Dalí
ܒܢܣܢܬ ܦܢ ܟܘܟ	Vincent van Gogh
ܦܪܝܕܐ ܩܐܠܘ	Frida Kahlo
ܗܢܪܝ ܡܐܛܝܣ	Henri Matisse
ܡܝܟܠܐܢܓܠܘ	Michelangelo Buonarroti
ܦܒܠܘ ܦܝܩܐܣܘ	Pablo Picasso
ܪܡܒܪܢܛ	Rembrandt van Rijn
ܐܢܕܝ ܘܘܪܗܘܠ	Andy Warhol
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	Ninive
ܒܒܠ	Babylon (stad)
ܐܝܪܝܚܘ	Jericho
ܩܛܠܘܢܝܐ	Catalonië
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	Madrid (autonome gemeenschap)
ܒܝܬ ܠܚܡ	Bethlehem
ܣܕܪܐ:Candidates for speedy deletion	Categorie:Wikipedia:Nuweg
ܪܫܡܠܘܬܐ	Kapitalisme
ܐܘܡܬܐ	Natie
ܩܪܬܐܓܘ	Carthago
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Categorie:Astronomie
ܨܚܪܐܐ	Sahara
ܒܝܬ ܟܬܒܐ	Bibliotheek (algemeen)
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	Regering
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	Qin Shi Huangdi
ܡܕܢܚܐ ܡܨܥܝܬܐ	Midden-Oosten
ܡܠܟܘܬܐ	Monarchie
ܩܘܛܢܝܘܬܐ	Republiek
ܐܬܪܐ	Staat
ܓܒܐ	Politieke partij
ܝܗܘܕܝܐ	Joden
ܝܡܡܬܐ ܪܘܪܒܬܐ	Grote Meren
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	Zuidelijke Oceaan
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Oor
ܢܚܝܪܐ	Neus
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Oog (anatomie)
ܥܘܩܒܪܬܐ	Spier (anatomie)
ܙܡܝܪܬܐ	Lied
ܓܡܠܐ	Kamelen
ܫܘܫܡܢܐ	Mieren
ܕܒܫܬܐ	Bijen
ܠܫܢܐ ܗܘܠܢܕܝܐ	Nederlands
ܐܡܐ (ܒܝܬܝܘܬܐ)	Moeder
ܐܒܐ (ܒܝܬܝܘܬܐ)	Vaderschap
1847	1847
ܨܦܪܐ (ܙܒܢܐ)	Ochtend
ܪܡܫܐ	Avond
ܩܛܝܢܬܐ	Minuut (tijd)
ܠܫܢܐ ܪܘܣܝܐ	Russisch
ܩܢܘܢܐ	Recht
ܠܫܢܐ ܨܝܢܝܐ	Chinese talen
ܕܡܐ	Bloed
ܬܓܪܘܡܬܐ	Skelet
ܪܐܬܐ	Long (orgaan)
ܠܫܢܐ ܪܘܡܢܝܐ	Roemeens
ܡܛܪܐ	Regen (neerslag)
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	Nelson Mandela
ܐܒܢܐ	Gesteente
ܥܢܢܐ	Wolk
ܩܢܘܢܐ ܕܠܥܙܐ	Grammatica
ܠܫܢܐ ܓܘܪܓܝܐ	Georgisch
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	Economie
ܙܘܙܐ	Valuta
ܡܕܐܬܐ	Belasting (fiscaal)
ܐܠܦܒܝܬ ܥܪܒܝܐ	Arabisch alfabet
ܐܠܦܒܝܬ ܝܘܢܝܐ	Grieks alfabet
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Latijns alfabet
ܣܕܪܐ:ܦܪܢܣܐ	Categorie:Frankrijk
ܟܢܫܐ	Maatschappij (wereld)
ܓܒܪܐ	Man (geslacht)
ܙܘܘܓܐ	Huwelijk
ܙܕܩܐ ܕܒܪܢܫܐ	Rechten van de mens
ܩܪܒܐ ܓܘܝܐ	Burgeroorlog
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	Borstbeen
ܬܪܝܢܐ	Vruchtensap
ܚܠܒܐ (ܕܝܘܒܐ)	Melk (drank)
ܛܘܪܐ	Berg (landvorm)
ܡܕܒܪܐ	Woestijn
ܠܫܢܐ ܐܠܒܢܝܐ	Albanees
ܠܫܢܐ ܐܪܡܢܝܐ	Armeens
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	Johannes Gutenberg
ܠܫܢܐ ܣܘܝܕܝܐ	Zweeds
ܢܝܩܘܠܐ ܛܣܠܐ	Nikola Tesla
ܡܘܫܐ	Mozes
ܬܕܐ	Borst
ܢܘܗܪܐ (ܚܙܝܬܐ)	Licht
ܠܫܢܐ ܝܘܢܝܐ	Grieks
ܠܫܢܐ ܦܪܣܝܐ	Perzisch
ܬܘܕܝܬܐ	Religie
ܐܒܪܗܡ	Abraham
ܣܦܪܐ ܕܒܪܝܬܐ	Genesis (boek)
ܠܫܢܐ ܩܢܛܘܢܝܐ	Standaardkantonees
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	Mandarijn (taal)
ܦܘܠܘܣ ܫܠܝܚܐ	Paulus (apostel)
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	Sigmund Freud
ܙܠܛܐ	Salade
ܝܗܘܕܝܘܬܐ	Jodendom
ܠܫܢܐ ܥܒܪܝܐ	Hebreeuws
ܟܒܕܐ	Lever
ܛܚܠܐ	Milt
ܟܘܠܝܬܐ	Nier (biologie)
ܫܠܦܘܚܬܐ	Urineblaas
ܐܫܟܐ	Teelbal
ܐܘܩܝܢܘܣ	Oceaan
ܒܘܕܗܐ	Gautama Boeddha
ܡܘܚܡܕ	Mohammed
ܟܪܣܐ	Buik
ܚܒܠܐ ܟܘܒܝܐ	Ruggenmerg
ܘܪܝܕܐ	Ader (anatomie)
ܡܪܒܥܐ	Baarmoeder
ܠܫܢܐ (ܗܕܡܐ)	Tong (anatomie)
ܓܝܕܐ	Zenuw
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Nek (anatomie)
ܦܘܡܐ	Mond (orgaan)
ܓܓܪܬܐ	Strottenhoofd
ܡܥܝܐ	Ingewanden
ܫܪܝܬܐ	Gewricht
ܬܝܪܬܐ	Klier
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Middenrif
ܫܪܝܢܐ	Slagader
A	A (letter)
B	B (letter)
ܢܘܛܦܬܐ	Sperma
G	G (letter)
U	U (letter)
Z	Z (letter)
F	F (letter)
J	J (letter)
ܐܠܦܒܝܬ	Alfabet
T	T (letter)
C	C (letter)
R	R (letter)
D	D (letter)
Α	Alfa (letter)
Ω	Omega (letter)
I	I (letter)
Μ	Mu (letter)
E	E (letter)
H	H (letter)
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	Haarlem
K	K (letter)
L	L (letter)
M	M (letter)
N	N (letter)
O	O (letter)
Q	Q (letter)
S	S (letter)
V	V (letter)
W	W (letter)
X	X (letter)
Y	Y (letter)
ܐܢܫܟܕܐ	Enschede
ܗܢܓܠܘ	Hengelo (Overijssel)
Φ	Phi (letter)
ܝܘܢܐ	Duiven (vogels)
ܐܝܠܢܐ	Boom (plant)
Λ	Lambda
ܓܒܬܐ	Kaas
ܥܢܒܬܐ	Druif
ܕܒܫܐ	Honing
ܒܣܪܐ	Vlees
ܫܟܪ	Tafelsuiker
ܣܦܪܙܒܢܐ	Krant
ܙܥܘܩܐ	Telefoontoestel
ܡܪܕܘܬܐ	Cultuur
ܡܥܝܐ ܥܒܝܐ	Dikke darm
ܡܥܝܐ ܩܛܝܢܐ	Dunne darm
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	Juliaanse kalender
ܐܣܝܘܬܐ	Geneeskunde
ܡܠܚܐ (ܐܨܪܐ)	Keukenzout
ܣܕܪܐ:ܒܪܐܙܝܠ	Categorie:Brazilië
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	Hoek (meetkunde)
ܬܘܩܦܐ	Energie
ܣܦܝܢܬܐ	Schip (transportmiddel)
ܩܠܐ (ܨܘܬܐ)	Geluid
